id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.99972636	0.00027347825
1	NOT	NOT	0.9997154	0.00028451724
2	NOT	NOT	0.999631	0.00036883756
3	NOT	NOT	0.9979015	0.00209844
4	NOT	NOT	0.999529	0.000470847
5	NOT	NOT	0.9992154	0.0007846582
6	NOT	NOT	0.9993274	0.00067257264
7	NOT	NOT	0.99976635	0.0002336294
8	NOT	NOT	0.99959475	0.0004051684
9	NOT	NOT	0.99966484	0.0003351972
10	NOT	NOT	0.999615	0.00038502982
11	NOT	NOT	0.9995352	0.00046473037
12	NOT	NOT	0.9992102	0.0007896928
13	NOT	NOT	0.9929745	0.0070253313
14	NOT	NOT	0.99976206	0.00023785821
15	NOT	NOT	0.9979612	0.0020388863
16	NOT	NOT	0.99490774	0.005092267
17	NOT	NOT	0.9992452	0.00075470743
18	NOT	NOT	0.99942535	0.000574585
19	NOT	NOT	0.9997273	0.00027289102
20	NOT	NOT	0.99850005	0.0014999806
21	NOT	NOT	0.99906915	0.000930742
22	NOT	NOT	0.99881315	0.0011868823
23	NOT	NOT	0.99930024	0.0006998009
24	NOT	NOT	0.9989632	0.0010368295
25	NOT	NOT	0.99956214	0.00043776113
26	NOT	NOT	0.9991511	0.00084896694
27	NOT	NOT	0.9995097	0.00049033866
28	NOT	NOT	0.9989534	0.0010465232
29	NOT	NOT	0.99966365	0.00033631455
30	NOT	NOT	0.9997063	0.00029354094
31	NOT	NOT	0.9996796	0.0003205794
32	NOT	NOT	0.99972874	0.0002712641
33	NOT	NOT	0.99964577	0.00035412828
34	NOT	NOT	0.9995657	0.00043427452
35	NOT	NOT	0.9995233	0.00047646352
36	NOT	NOT	0.99901366	0.0009864281
37	NOT	NOT	0.99968344	0.00031638105
38	HOF	HOF	0.0007567637	0.9992433
39	NOT	NOT	0.9992638	0.0007363393
40	NOT	NOT	0.9997568	0.00024320782
41	NOT	NOT	0.9997516	0.00024821667
42	NOT	NOT	0.99972636	0.00027389952
43	NOT	NOT	0.9996796	0.00032057113
44	NOT	NOT	0.9996372	0.0003626908
45	NOT	NOT	0.9996882	0.00031159603
46	NOT	NOT	0.9996391	0.00036099146
47	NOT	NOT	0.99931884	0.00068117795
48	NOT	NOT	0.9992702	0.00072991056
49	NOT	NOT	0.99951994	0.00048010753
50	NOT	NOT	0.99946415	0.0005357432
51	NOT	NOT	0.9997454	0.00025453372
52	NOT	NOT	0.9975906	0.0024094286
53	NOT	NOT	0.99952567	0.0004742404
54	NOT	NOT	0.99963194	0.00036810138
55	NOT	NOT	0.9996229	0.0003770794
56	NOT	NOT	0.9998169	0.00018307517
57	NOT	NOT	0.9993805	0.0006195637
58	NOT	NOT	0.9997521	0.0002479342
59	NOT	NOT	0.99928355	0.00071651407
60	NOT	NOT	0.99970585	0.00029405032
61	NOT	NOT	0.99955094	0.00044896474
62	NOT	NOT	0.9997416	0.00025849076
63	NOT	NOT	0.9995197	0.0004801565
64	NOT	NOT	0.9993315	0.0006684396
65	NOT	NOT	0.9990763	0.0009237447
66	HOF	HOF	0.003322577	0.99667746
67	NOT	NOT	0.9997711	0.00022876957
68	NOT	NOT	0.99969107	0.00030908038
69	NOT	NOT	0.9996229	0.00037695645
70	NOT	NOT	0.9996119	0.0003879599
71	NOT	NOT	0.9994956	0.0005045274
72	NOT	NOT	0.99941033	0.00058968185
73	NOT	NOT	0.99938387	0.00061621104
74	NOT	NOT	0.99973255	0.00026764726
75	NOT	NOT	0.99960285	0.00039702986
76	NOT	NOT	0.9995445	0.00045537847
77	NOT	NOT	0.99893695	0.0010630664
78	NOT	NOT	0.9992802	0.00071968825
79	NOT	NOT	0.99941176	0.000588143
80	NOT	NOT	0.9992993	0.00070085784
81	NOT	NOT	0.9994918	0.00050834287
82	HOF	HOF	0.0011073968	0.99889266
83	NOT	NOT	0.9978235	0.0021764925
84	NOT	NOT	0.9995778	0.00042211302
85	NOT	NOT	0.999179	0.0008210014
86	NOT	NOT	0.99978447	0.00021556206
87	NOT	NOT	0.99966294	0.00033722265
88	NOT	NOT	0.9997011	0.00029909084
89	NOT	NOT	0.9996472	0.00035273287
90	NOT	NOT	0.99966294	0.00033703714
91	NOT	NOT	0.99898297	0.0010171285
92	NOT	NOT	0.9992412	0.00075884396
93	NOT	NOT	0.99933386	0.00066606194
94	NOT	NOT	0.9992278	0.00077212567
95	NOT	NOT	0.99187475	0.008125113
96	HOF	HOF	0.00033973466	0.9996603
97	NOT	NOT	0.99969774	0.00030242832
98	HOF	HOF	0.0007937943	0.9992061
99	NOT	NOT	0.99911565	0.0008844794
100	NOT	NOT	0.999763	0.00023704524
101	NOT	NOT	0.9994349	0.0005651398
102	NOT	NOT	0.99973255	0.00026745157
103	NOT	NOT	0.999784	0.0002160146
104	HOF	HOF	0.0010448818	0.9989551
105	NOT	NOT	0.99980307	0.00019679047
106	NOT	NOT	0.9997335	0.00026654333
107	NOT	NOT	0.9992738	0.0007263234
108	NOT	NOT	0.99978733	0.00021288557
109	NOT	NOT	0.999651	0.00034916526
110	NOT	NOT	0.99978065	0.0002195212
111	NOT	NOT	0.9997983	0.00020153525
112	NOT	NOT	0.99948204	0.00051802804
113	NOT	NOT	0.9994082	0.0005918566
114	HOF	HOF	0.0006827199	0.99931717
115	NOT	NOT	0.9972482	0.0027516945
116	HOF	HOF	0.00096301484	0.999037
117	NOT	NOT	0.99887985	0.0011200872
118	NOT	NOT	0.99960333	0.00039656364
119	NOT	NOT	0.9988813	0.0011186813
120	NOT	NOT	0.999524	0.00047598756
121	NOT	NOT	0.9987205	0.0012795525
122	NOT	NOT	0.998741	0.0012589961
123	NOT	NOT	0.99927044	0.0007294513
124	HOF	HOF	0.000777048	0.99922305
125	NOT	NOT	0.9996038	0.0003962593
126	NOT	NOT	0.99933624	0.00066363096
127	NOT	NOT	0.99917257	0.0008274978
128	NOT	NOT	0.9997759	0.00022397515
129	NOT	NOT	0.9992605	0.0007396698
130	NOT	NOT	0.9996157	0.00038429833
131	NOT	NOT	0.9997516	0.00024861444
132	NOT	NOT	0.9997292	0.00027100916
133	HOF	HOF	0.0004873638	0.99951255
134	NOT	NOT	0.99969584	0.00030419393
135	NOT	NOT	0.99971443	0.00028568093
136	NOT	NOT	0.9997526	0.00024738483
137	NOT	NOT	0.99964005	0.00036014194
138	NOT	NOT	0.99947417	0.00052576646
139	NOT	NOT	0.9997383	0.00026163706
140	NOT	NOT	0.9990387	0.0009612252
141	NOT	NOT	0.99965054	0.00034941308
142	NOT	NOT	0.9995166	0.00048354737
143	NOT	NOT	0.9988298	0.0011701351
144	NOT	NOT	0.99942917	0.00057076826
145	NOT	NOT	0.99408215	0.0059180046
146	NOT	NOT	0.99946177	0.00053826417
147	NOT	NOT	0.9980809	0.0019191622
148	NOT	NOT	0.99923426	0.00076577254
149	NOT	NOT	0.99944943	0.0005506631
150	NOT	NOT	0.9997178	0.00028214807
151	NOT	NOT	0.9993515	0.00064850226
152	NOT	NOT	0.99936074	0.0006392859
153	NOT	NOT	0.99933815	0.0006618821
154	NOT	NOT	0.99979067	0.00020921983
155	NOT	NOT	0.99974304	0.0002572346
156	NOT	NOT	0.99802834	0.0019717163
157	NOT	NOT	0.999625	0.000375037
158	NOT	NOT	0.998069	0.001931001
159	NOT	NOT	0.99922067	0.00077924685
160	NOT	NOT	0.9994694	0.0005305606
161	NOT	NOT	0.9991942	0.0008057006
162	NOT	NOT	0.9992738	0.00072623126
163	NOT	NOT	0.99854696	0.001452991
164	NOT	NOT	0.9981885	0.0018114792
165	NOT	NOT	0.9996088	0.00039116197
166	NOT	NOT	0.999037	0.0009628202
167	NOT	NOT	0.99948156	0.0005184185
168	NOT	NOT	0.9996746	0.0003252836
169	NOT	NOT	0.9989017	0.001098317
170	NOT	NOT	0.9992352	0.0007646928
171	NOT	NOT	0.99907535	0.0009245617
172	NOT	NOT	0.9996105	0.00038940518
173	NOT	NOT	0.99929523	0.0007049018
174	NOT	NOT	0.99951494	0.00048493972
175	NOT	NOT	0.9997435	0.0002567153
176	NOT	NOT	0.99215007	0.007849973
177	NOT	NOT	0.99975544	0.0002447201
178	NOT	NOT	0.9996639	0.0003359427
179	NOT	NOT	0.99956596	0.00043393794
180	NOT	NOT	0.9996949	0.00030497968
181	NOT	NOT	0.99972874	0.00027138003
182	NOT	NOT	0.9996086	0.00039134256
183	NOT	NOT	0.99957	0.00043018628
184	NOT	NOT	0.9992123	0.0007876823
185	NOT	NOT	0.996945	0.0030549334
186	NOT	NOT	0.9996193	0.00038060924
187	NOT	NOT	0.9996086	0.00039131625
188	NOT	NOT	0.9987753	0.0012246729
189	NOT	NOT	0.9990961	0.00090399646
190	NOT	NOT	0.99929047	0.00070957764
191	NOT	NOT	0.9993305	0.00066948874
192	NOT	NOT	0.999356	0.0006440848
193	NOT	NOT	0.9986005	0.0013996165
194	NOT	NOT	0.99894863	0.001051366
195	HOF	HOF	0.00042261533	0.99957734
196	NOT	NOT	0.99933815	0.00066178804
197	NOT	NOT	0.9997897	0.00021041982
198	NOT	NOT	0.999555	0.00044489707
199	NOT	NOT	0.9996188	0.00038105488
200	NOT	NOT	0.9996639	0.00033609458
201	NOT	NOT	0.9987174	0.0012825677
202	NOT	NOT	0.9997135	0.00028665303
203	NOT	NOT	0.9992073	0.0007927616
204	NOT	NOT	0.9996565	0.00034343917
205	NOT	NOT	0.9997616	0.0002381928
206	NOT	NOT	0.99950325	0.0004967819
207	NOT	NOT	0.99954116	0.0004587752
208	NOT	NOT	0.9996498	0.0003501239
