id	label	task_2_preds	HATE_probs	OFFN_probs	PRFN_probs
0	OFFN	OFFN	0.08299162	0.8524243	0.06458405
1	OFFN	OFFN	0.06614339	0.86128944	0.07256724
2	OFFN	OFFN	0.13369344	0.83237404	0.033932474
3	OFFN	OFFN	0.2040621	0.7448027	0.05113519
4	OFFN	OFFN	0.18972962	0.75137615	0.058894284
5	HATE	HATE	0.5292844	0.41068846	0.06002707
6	OFFN	OFFN	0.11507687	0.844058	0.040865142
7	OFFN	OFFN	0.08812721	0.8483206	0.063552134
8	OFFN	OFFN	0.12054255	0.7398499	0.13960758
9	OFFN	OFFN	0.10673138	0.77043056	0.12283804
10	OFFN	OFFN	0.056298584	0.8566136	0.08708796
11	OFFN	OFFN	0.12340346	0.8370066	0.03959003
12	OFFN	OFFN	0.10428756	0.8082344	0.08747795
13	HATE	HATE	0.4985881	0.38405254	0.11735932
14	HATE	OFFN	0.42669874	0.52171266	0.05158851
15	HATE	HATE	0.6815816	0.24618594	0.07223237
16	HATE	HATE	0.6096311	0.32687292	0.063495934
17	OFFN	OFFN	0.16153951	0.7550722	0.08338826
18	HATE	HATE	0.69849336	0.263805	0.03770165
19	OFFN	OFFN	0.21727596	0.7234829	0.05924106
20	HATE	HATE	0.6380925	0.311981	0.0499265
21	HATE	HATE	0.5488476	0.3924931	0.058659267
22	HATE	HATE	0.6592236	0.3022184	0.03855794
23	HATE	HATE	0.6802523	0.2604019	0.059345756
24	HATE	HATE	0.7585818	0.20648147	0.03493673
25	PRFN	OFFN	0.16631866	0.44321924	0.39046213
26	PRFN	OFFN	0.14858559	0.4391426	0.4122717
27	OFFN	OFFN	0.29691944	0.6522736	0.05080703
28	OFFN	OFFN	0.2872986	0.65858585	0.05411553
29	HATE	HATE	0.73750013	0.21621673	0.04628313
30	OFFN	OFFN	0.10377983	0.85106194	0.045158204
31	OFFN	OFFN	0.11805391	0.8156008	0.066345245
32	OFFN	OFFN	0.3757845	0.57330525	0.05091029
33	OFFN	OFFN	0.100758575	0.7139105	0.18533087
34	OFFN	OFFN	0.29257193	0.6309778	0.076450326
35	OFFN	OFFN	0.27164736	0.6781057	0.05024694
36	OFFN	OFFN	0.24344718	0.7039332	0.05261956
37	OFFN	OFFN	0.2759482	0.6660881	0.05796373
38	PRFN	PRFN	0.057769805	0.41674203	0.52548814
39	PRFN	OFFN	0.11346618	0.7767421	0.10979165
40	OFFN	OFFN	0.122731306	0.80871564	0.068553016
41	OFFN	OFFN	0.3671443	0.59435165	0.03850416
42	PRFN	OFFN	0.38726506	0.41321823	0.19951676
43	OFFN	OFFN	0.10938327	0.7934645	0.09715227
44	OFFN	OFFN	0.24679856	0.7233907	0.029810626
45	PRFN	PRFN	0.051445197	0.31926855	0.6292863
46	OFFN	OFFN	0.25140512	0.7032272	0.045367625
47	OFFN	OFFN	0.3328263	0.60626477	0.060908865
48	OFFN	OFFN	0.21638839	0.74664575	0.036965843
49	PRFN	PRFN	0.11281011	0.19815162	0.6890383
50	PRFN	PRFN	0.0791898	0.16719738	0.7536129
51	HATE	HATE	0.5446727	0.40730935	0.048017934
52	OFFN	OFFN	0.092142634	0.7454314	0.16242586
53	PRFN	PRFN	0.10024128	0.43442208	0.46533674
54	PRFN	PRFN	0.12758769	0.30127743	0.57113487
