id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.97304547	0.02695446
1	NOT	NOT	0.9748457	0.025154313
2	NOT	NOT	0.9704273	0.029572744
3	NOT	NOT	0.9648374	0.035162587
4	NOT	NOT	0.97659224	0.023407724
5	NOT	NOT	0.97146076	0.02853927
6	NOT	NOT	0.9675223	0.032477725
7	NOT	NOT	0.9762079	0.023792084
8	NOT	NOT	0.9732905	0.026709525
9	NOT	NOT	0.964834	0.035166018
10	NOT	NOT	0.97550714	0.02449291
11	NOT	NOT	0.97388333	0.026116759
12	NOT	NOT	0.9168927	0.08310734
13	NOT	NOT	0.767802	0.23219796
14	NOT	NOT	0.9763814	0.023618462
15	NOT	NOT	0.6778666	0.32213336
16	NOT	NOT	0.8062663	0.19373368
17	NOT	NOT	0.9738288	0.02617123
18	NOT	NOT	0.9701395	0.02986052
19	NOT	NOT	0.97777367	0.022226322
20	NOT	NOT	0.9775244	0.022475632
21	NOT	NOT	0.96412706	0.035872955
22	NOT	NOT	0.9623396	0.037660506
23	NOT	NOT	0.9739372	0.02606278
24	NOT	NOT	0.8808155	0.11918447
25	NOT	NOT	0.9720594	0.027940528
26	NOT	NOT	0.9703655	0.029634431
27	NOT	NOT	0.9742	0.025800085
28	NOT	NOT	0.95287615	0.04712383
29	NOT	NOT	0.9747698	0.025230214
30	NOT	NOT	0.97894293	0.02105712
31	NOT	NOT	0.97316056	0.026839482
32	NOT	NOT	0.9738844	0.026115576
33	NOT	NOT	0.9765068	0.023493115
34	NOT	NOT	0.9776392	0.022360774
35	NOT	NOT	0.97219414	0.02780587
36	NOT	NOT	0.9782673	0.021732725
37	NOT	NOT	0.9745547	0.025445338
38	HOF	HOF	0.042949487	0.95705056
39	NOT	NOT	0.9763656	0.02363446
40	NOT	NOT	0.9744384	0.025561634
41	NOT	NOT	0.9726736	0.02732646
42	NOT	NOT	0.9777989	0.022201091
43	NOT	NOT	0.9773213	0.022678697
44	NOT	NOT	0.9761766	0.023823338
45	NOT	NOT	0.9744488	0.025551155
46	NOT	NOT	0.9763643	0.023635654
47	NOT	NOT	0.92435724	0.07564284
48	NOT	NOT	0.976183	0.023816988
49	NOT	NOT	0.9747406	0.02525934
50	NOT	NOT	0.97659993	0.023399979
51	NOT	NOT	0.9528649	0.047135156
52	NOT	NOT	0.97564614	0.02435391
53	NOT	NOT	0.9730594	0.026940558
54	NOT	NOT	0.9713341	0.028665995
55	NOT	NOT	0.9755625	0.024437532
