id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.98756576	0.012434381
1	HOF	HOF	0.08348383	0.91651624
2	NOT	NOT	0.9760461	0.02395393
3	NOT	NOT	0.9705239	0.02947604
4	NOT	NOT	0.98995304	0.010047026
5	NOT	NOT	0.9356238	0.06437615
6	NOT	NOT	0.93590814	0.06409175
7	HOF	HOF	0.03304442	0.9669556
8	NOT	NOT	0.93985796	0.060142085
9	NOT	NOT	0.99310803	0.006892058
10	NOT	NOT	0.9921926	0.007807342
11	HOF	HOF	0.0073394338	0.99266064
12	NOT	NOT	0.706626	0.29337388
13	NOT	NOT	0.98893183	0.011068225
14	NOT	NOT	0.96730536	0.032694537
15	HOF	HOF	0.004552647	0.9954473
16	NOT	NOT	0.97551215	0.02448786
17	NOT	NOT	0.9926992	0.007300721
18	NOT	NOT	0.97642624	0.023573693
19	NOT	NOT	0.9859146	0.014085378
20	NOT	NOT	0.9522627	0.047737308
21	NOT	NOT	0.99360114	0.0063988674
22	NOT	NOT	0.973399	0.026600992
23	HOF	HOF	0.04346117	0.9565389
24	NOT	NOT	0.9887138	0.011286112
25	NOT	NOT	0.89375633	0.106243685
26	NOT	NOT	0.9610873	0.038912732
27	HOF	HOF	0.0053321654	0.99466795
28	NOT	NOT	0.99462694	0.005373005
29	NOT	NOT	0.9888616	0.011138393
30	NOT	NOT	0.9847953	0.015204738
31	NOT	NOT	0.8304015	0.16959849
32	HOF	HOF	0.013134958	0.98686504
33	NOT	NOT	0.98765475	0.012345125
34	HOF	HOF	0.0070252107	0.99297476
35	NOT	NOT	0.89385766	0.106142364
36	NOT	NOT	0.89857775	0.10142224
37	NOT	NOT	0.9734909	0.026509114
38	NOT	NOT	0.99057895	0.009421099
39	NOT	NOT	0.8522439	0.1477561
40	NOT	NOT	0.9751851	0.024814984
41	NOT	NOT	0.98678225	0.013217711
42	NOT	NOT	0.9629207	0.03707928
43	HOF	HOF	0.022765728	0.9772343
44	HOF	NOT	0.8719312	0.12806888
45	NOT	NOT	0.9899217	0.010078319
46	HOF	NOT	0.8115011	0.188499
47	HOF	NOT	0.72395885	0.27604118
48	HOF	HOF	0.01477046	0.9852295
49	HOF	HOF	0.00828477	0.9917154
50	NOT	NOT	0.9948138	0.0051861233
51	HOF	HOF	0.005863235	0.99413687
52	NOT	NOT	0.9521575	0.047842614
53	NOT	NOT	0.9348873	0.06511274
54	NOT	NOT	0.95490056	0.045099393
55	NOT	NOT	0.9112958	0.08870419
56	NOT	NOT	0.95376414	0.046235804
57	NOT	NOT	0.9615409	0.03845911
58	NOT	NOT	0.9851054	0.01489455
59	NOT	NOT	0.9897022	0.010297621
60	NOT	HOF	0.48964426	0.51035565
61	HOF	HOF	0.005675858	0.99432415
62	NOT	NOT	0.91344386	0.086556196
63	HOF	HOF	0.005937839	0.99406224
64	NOT	NOT	0.9308694	0.06913058
65	NOT	NOT	0.97769445	0.022305483
66	NOT	NOT	0.9237986	0.076201424
67	NOT	NOT	0.96632355	0.033676494
68	NOT	NOT	0.965566	0.03443405
69	NOT	NOT	0.98268795	0.017312113
70	NOT	NOT	0.9814182	0.018581683
71	NOT	NOT	0.9464017	0.053598344
72	NOT	NOT	0.98396164	0.01603826
73	NOT	NOT	0.9921709	0.007829147
74	NOT	NOT	0.9565693	0.043430675
75	NOT	NOT	0.9796212	0.020378841
76	NOT	NOT	0.9945392	0.0054607727
77	NOT	NOT	0.986881	0.013119015
78	NOT	NOT	0.85302764	0.14697236
79	NOT	NOT	0.96107584	0.038924202
80	NOT	NOT	0.6332687	0.3667313
81	NOT	NOT	0.72944736	0.27055266
82	NOT	NOT	0.9813685	0.018631509
83	NOT	NOT	0.97178257	0.028217433
84	NOT	NOT	0.9697437	0.030256305
85	NOT	NOT	0.9902054	0.009794464
86	NOT	NOT	0.98939055	0.010609401
87	NOT	NOT	0.9954936	0.004506506
88	NOT	NOT	0.9701358	0.029864186
89	NOT	NOT	0.97642684	0.023573041
90	NOT	NOT	0.9927364	0.0072637014
91	HOF	HOF	0.0053741196	0.994626
92	NOT	NOT	0.97573394	0.02426605
93	NOT	NOT	0.99036735	0.009632697
94	NOT	NOT	0.97548515	0.024514953
95	HOF	HOF	0.011099534	0.9889005
96	NOT	NOT	0.89591926	0.10408082
97	NOT	NOT	0.86677223	0.1332278
98	NOT	NOT	0.97754073	0.022459267
99	NOT	NOT	0.9232212	0.07677883
100	NOT	NOT	0.9754775	0.024522506
101	NOT	NOT	0.97784704	0.022152923
102	HOF	HOF	0.010604485	0.9893955
103	NOT	NOT	0.9461144	0.0538856
104	NOT	NOT	0.99120384	0.0087962905
105	NOT	NOT	0.8771527	0.12284724
106	NOT	NOT	0.94645464	0.05354544
107	NOT	NOT	0.99025524	0.0097448
108	NOT	NOT	0.9644312	0.035568643
109	NOT	NOT	0.9651566	0.03484338
110	NOT	NOT	0.9829788	0.017021112
111	NOT	NOT	0.9901492	0.009850698
112	NOT	NOT	0.98559296	0.014407004
113	NOT	NOT	0.983287	0.016713183
114	NOT	NOT	0.97809464	0.021905381
115	NOT	NOT	0.93154573	0.06845422
116	NOT	NOT	0.9569513	0.04304869
117	NOT	NOT	0.98004776	0.019952387
118	NOT	HOF	0.4366519	0.5633482
119	NOT	NOT	0.9783831	0.021616928
120	NOT	NOT	0.97303516	0.026964823
121	NOT	NOT	0.98540616	0.0145938825
122	NOT	NOT	0.9532419	0.046758022
123	NOT	NOT	0.9715048	0.028495213
124	NOT	NOT	0.9871896	0.012810428
125	NOT	NOT	0.98362577	0.016374305
126	NOT	NOT	0.97972894	0.020271061
127	NOT	NOT	0.98622495	0.013775108
128	NOT	NOT	0.9872976	0.012702302
129	HOF	HOF	0.016839456	0.9831606
130	NOT	NOT	0.9685878	0.031412117
131	NOT	NOT	0.98996204	0.010038056
132	NOT	NOT	0.9624651	0.03753492
133	NOT	NOT	0.95954025	0.040459774
134	HOF	HOF	0.008590391	0.9914097
135	NOT	NOT	0.9806324	0.019367598
136	NOT	NOT	0.97863686	0.021363178
137	NOT	NOT	0.8302444	0.16975564
138	NOT	NOT	0.8169126	0.18308741
139	NOT	NOT	0.9678092	0.032190803
140	NOT	NOT	0.9649645	0.035035558
141	NOT	NOT	0.9702642	0.029735887
142	NOT	NOT	0.9682493	0.031750638
143	NOT	NOT	0.9875076	0.012492313
144	HOF	HOF	0.011130821	0.98886913
145	HOF	HOF	0.005752218	0.99424785
146	NOT	NOT	0.9565774	0.04342261
147	NOT	NOT	0.972667	0.02733299
148	NOT	NOT	0.9426493	0.057350695
149	NOT	NOT	0.97885746	0.021142488
150	NOT	NOT	0.9873746	0.012625479
151	NOT	NOT	0.97000766	0.029992389
152	NOT	NOT	0.98081386	0.019186096
153	NOT	NOT	0.98262113	0.017378919
154	NOT	NOT	0.9617842	0.03821593
155	NOT	NOT	0.98434436	0.015655622
156	NOT	NOT	0.92291826	0.077081725
157	HOF	HOF	0.0062603736	0.9937395
158	NOT	NOT	0.98762214	0.0123777855
159	NOT	NOT	0.9715977	0.0284024
160	NOT	NOT	0.9598338	0.040166195
161	NOT	NOT	0.99329865	0.006701432
162	NOT	NOT	0.9610587	0.03894134
163	NOT	NOT	0.9470237	0.052976266
164	NOT	NOT	0.9260888	0.07391117
165	NOT	NOT	0.93408525	0.06591483
166	NOT	NOT	0.96091133	0.03908869
167	NOT	NOT	0.8247529	0.17524707
168	NOT	NOT	0.9180627	0.08193737
169	NOT	NOT	0.9724256	0.027574353
170	NOT	NOT	0.96250993	0.03749004
171	NOT	NOT	0.9586965	0.041303575
172	NOT	NOT	0.97741264	0.02258733
173	NOT	NOT	0.9575061	0.042493876
174	NOT	NOT	0.94833696	0.051663123
175	NOT	NOT	0.90064687	0.099353075
176	NOT	NOT	0.9527239	0.047276042
177	NOT	NOT	0.99009705	0.009902998
178	NOT	NOT	0.9946032	0.005396898
179	NOT	NOT	0.9776293	0.022370704
180	NOT	NOT	0.9797989	0.020201093
181	NOT	NOT	0.9651855	0.03481445
182	NOT	NOT	0.95036125	0.049638733
183	NOT	NOT	0.99020636	0.009793647
184	NOT	NOT	0.97351086	0.026489163
185	NOT	NOT	0.77536476	0.22463524
186	NOT	NOT	0.96465456	0.035345484
187	NOT	NOT	0.99193764	0.008062413
188	NOT	NOT	0.9862241	0.013775844
189	NOT	NOT	0.99390775	0.0060921935
190	NOT	NOT	0.9874012	0.012598765
191	NOT	NOT	0.9384037	0.061596226
192	NOT	NOT	0.9872317	0.01276822
193	NOT	NOT	0.99215287	0.007847114
194	NOT	NOT	0.96423984	0.0357602
195	NOT	NOT	0.9823685	0.0176315
196	NOT	NOT	0.9637558	0.036244195
197	NOT	NOT	0.9595516	0.040448442
198	NOT	NOT	0.9007972	0.09920282
199	NOT	NOT	0.9290703	0.07092976
200	NOT	NOT	0.97138757	0.028612388
201	NOT	NOT	0.98838854	0.011611547
202	NOT	NOT	0.98006773	0.01993234
203	NOT	NOT	0.9863969	0.013603163
204	NOT	NOT	0.97147083	0.028529108
205	NOT	NOT	0.9441437	0.055856295
206	NOT	NOT	0.94403183	0.055968083
207	NOT	NOT	0.8319423	0.16805765
208	NOT	NOT	0.95731837	0.0426817
209	NOT	NOT	0.97248006	0.0275199
210	NOT	NOT	0.9727843	0.0272157
211	NOT	NOT	0.9914168	0.008583155
212	HOF	HOF	0.005835577	0.9941644
213	HOF	HOF	0.008111011	0.99188894
214	NOT	NOT	0.94877636	0.05122361
215	NOT	NOT	0.97755414	0.022445852
216	NOT	NOT	0.9906923	0.009307665
217	NOT	NOT	0.9602806	0.039719384
218	HOF	HOF	0.02049044	0.97950953
