id	label	task_2_preds	HATE_probs	OFFN_probs	PRFN_probs
0	HATE	HATE	0.9298671	0.062462594	0.0076701394
1	PRFN	PRFN	0.15135325	0.13112064	0.7175261
2	HATE	HATE	0.6709677	0.31542432	0.013608003
3	PRFN	PRFN	0.02413528	0.024558466	0.9513062
4	HATE	HATE	0.9773361	0.013716066	0.008947888
5	HATE	HATE	0.9616546	0.031805187	0.0065401406
6	PRFN	PRFN	0.029028716	0.03424756	0.93672377
7	HATE	HATE	0.9191129	0.07441102	0.006476021
8	PRFN	PRFN	0.054738663	0.052209202	0.89305216
9	PRFN	PRFN	0.06106465	0.050398964	0.8885364
10	PRFN	PRFN	0.05368114	0.060983	0.8853359
11	PRFN	PRFN	0.1083155	0.0648054	0.8268791
12	PRFN	PRFN	0.022619804	0.023222828	0.9541573
13	OFFN	OFFN	0.4749042	0.50500673	0.020089041
14	PRFN	PRFN	0.08520399	0.07572539	0.8390707
15	PRFN	PRFN	0.029489184	0.028827332	0.94168353
16	PRFN	PRFN	0.07137503	0.21531479	0.7133102
17	OFFN	OFFN	0.2076045	0.7686728	0.023722572
18	HATE	PRFN	0.3593086	0.16424254	0.47644883
19	OFFN	OFFN	0.08537022	0.78440976	0.13022004
20	OFFN	OFFN	0.18955295	0.7646755	0.045771558
21	PRFN	PRFN	0.02781571	0.024766859	0.9474174
22	OFFN	OFFN	0.2515203	0.7257292	0.022750469
23	PRFN	PRFN	0.075856276	0.09833521	0.8258086
24	PRFN	PRFN	0.07214009	0.07565943	0.8522005
25	OFFN	OFFN	0.08749493	0.7670739	0.14543119
26	OFFN	PRFN	0.04595937	0.071204975	0.8828356
27	OFFN	HATE	0.52734005	0.3754674	0.09719253
28	PRFN	PRFN	0.052734654	0.049839754	0.89742565
29	PRFN	PRFN	0.085743934	0.103546545	0.8107095
30	OFFN	OFFN	0.20895512	0.7642529	0.026791979
31	PRFN	PRFN	0.032635294	0.034243744	0.93312097
32	OFFN	OFFN	0.15928952	0.812142	0.028568422
33	HATE	HATE	0.9786542	0.013858827	0.0074870004
34	PRFN	PRFN	0.060080018	0.051889013	0.88803095
35	OFFN	HATE	0.70843786	0.27156627	0.01999594
36	OFFN	OFFN	0.29928344	0.6667934	0.033922993
37	OFFN	PRFN	0.2813129	0.22783229	0.4908549
38	OFFN	OFFN	0.14028497	0.82710046	0.032614604
