id	label	task_3_preds	TIN_probs	UNT_probs
0	TIN	TIN	0.9856092	0.014390883
1	TIN	TIN	0.98605084	0.0139491735
2	TIN	TIN	0.9813211	0.01867889
3	TIN	TIN	0.98614603	0.013853892
4	TIN	TIN	0.9841118	0.01588808
5	TIN	TIN	0.9223106	0.07768945
6	TIN	TIN	0.9869792	0.013020814
7	TIN	TIN	0.9859309	0.014069026
8	TIN	TIN	0.98580563	0.014194341
9	TIN	TIN	0.9193517	0.08064824
10	TIN	TIN	0.9803347	0.019665278
11	TIN	TIN	0.98715377	0.012846218
12	TIN	TIN	0.98248625	0.017513862
13	TIN	TIN	0.98567265	0.014327254
14	TIN	TIN	0.9879006	0.012099359
15	TIN	TIN	0.98411155	0.015888352
16	TIN	TIN	0.9856129	0.014387116
17	TIN	TIN	0.98494464	0.015055347
18	TIN	TIN	0.98616743	0.013832518
19	TIN	TIN	0.9861792	0.013820894
20	TIN	TIN	0.9846901	0.015309887
21	UNT	UNT	0.05312819	0.9468718
22	TIN	TIN	0.9858101	0.014189902
23	TIN	TIN	0.9839265	0.016073624
24	UNT	TIN	0.98661685	0.013383035
25	TIN	TIN	0.9864313	0.013568641
26	TIN	TIN	0.9839715	0.016028611
27	TIN	TIN	0.986559	0.013441104
28	TIN	TIN	0.98556334	0.01443663
29	UNT	UNT	0.051138777	0.94886124
30	TIN	TIN	0.98580426	0.014195851
31	TIN	TIN	0.9858094	0.014190653
32	TIN	TIN	0.9844387	0.015561367
33	TIN	TIN	0.9849418	0.01505814
34	TIN	TIN	0.98486316	0.015136855
35	TIN	TIN	0.98548204	0.014517874
36	TIN	TIN	0.9853627	0.014637232
37	TIN	TIN	0.98588276	0.014117101
38	TIN	TIN	0.9855333	0.014466896
39	TIN	TIN	0.982074	0.017925935
40	TIN	TIN	0.9858263	0.014173598
41	TIN	TIN	0.9853876	0.014612308
42	TIN	TIN	0.9829588	0.01704122
43	TIN	TIN	0.9868888	0.013111198
44	TIN	TIN	0.9840947	0.015905295
45	TIN	TIN	0.9862558	0.0137443235
46	TIN	TIN	0.98630524	0.013694774
47	TIN	TIN	0.98407006	0.01593006
48	TIN	TIN	0.9837876	0.01621241
49	TIN	TIN	0.98469174	0.0153083615
50	TIN	TIN	0.9840557	0.015944393
51	TIN	TIN	0.9866747	0.01332528
52	TIN	TIN	0.98575205	0.0142479595
53	TIN	TIN	0.98561645	0.014383515
54	TIN	TIN	0.98709613	0.012903817
55	TIN	TIN	0.9861197	0.013880235
56	TIN	TIN	0.98498124	0.015018794
57	TIN	TIN	0.9868194	0.013180483
58	TIN	TIN	0.9832797	0.016720388
59	TIN	TIN	0.9823939	0.017606085
60	TIN	TIN	0.982508	0.017492011
61	TIN	TIN	0.9692918	0.030708162
62	TIN	TIN	0.9850386	0.014961468
63	TIN	TIN	0.9866025	0.013397567
64	TIN	TIN	0.9847605	0.0152396085
65	TIN	TIN	0.98438543	0.015614543
66	TIN	TIN	0.98585194	0.014147979
67	TIN	TIN	0.98449856	0.015501424
68	TIN	TIN	0.9857911	0.014209056
69	TIN	TIN	0.98572975	0.014270289
70	TIN	TIN	0.9858153	0.014184686
71	TIN	TIN	0.98623353	0.0137664275
72	TIN	TIN	0.9866601	0.013339755
73	TIN	TIN	0.985494	0.014505869
74	TIN	TIN	0.9811494	0.018850524
75	TIN	TIN	0.9858221	0.014178032
76	TIN	TIN	0.980846	0.019153994
77	TIN	TIN	0.98228174	0.017718181
78	TIN	TIN	0.98251927	0.017480906
79	TIN	TIN	0.98593307	0.014066826
80	TIN	TIN	0.9867418	0.013258236
