id	label	task_4_preds	NOT-NONE-NONE_probs	HOF-HATE-TIN_probs	HOF-HATE-UNT_probs	HOF-OFFN-TIN_probs	HOF-OFFN-UNT_probs	HOF-PRFN-TIN_probs	HOF-PRFN-UNT_probs
0	NOT-NONE-NONE	NOT-NONE-NONE	0.8217872	0.16494001	0.0067911786	0.0022476825	0.0018452461	0.001346658	0.0010420805
1	HOF-HATE-TIN	HOF-HATE-TIN	0.20071612	0.576636	0.010999743	0.19596402	0.00630138	0.0061829137	0.0031998365
2	NOT-NONE-NONE	NOT-NONE-NONE	0.7332206	0.2493137	0.008385686	0.0031720176	0.0022096226	0.0018543444	0.0018438458
3	NOT-NONE-NONE	NOT-NONE-NONE	0.91192555	0.070582986	0.01030464	0.001985387	0.0012557135	0.0021219833	0.001823904
4	NOT-NONE-NONE	NOT-NONE-NONE	0.95347667	0.036328442	0.005245707	0.0016347405	0.00089316216	0.0016312613	0.00078983593
5	NOT-NONE-NONE	NOT-NONE-NONE	0.90505284	0.06432295	0.009300131	0.01088061	0.0018723607	0.006767645	0.0018036023
6	NOT-NONE-NONE	NOT-NONE-NONE	0.74964124	0.23001693	0.004446449	0.0064492417	0.0018732841	0.0056402367	0.001932872
7	HOF-PRFN-TIN	NOT-NONE-NONE	0.6412307	0.017455176	0.00805676	0.037192374	0.0026206695	0.27861768	0.014826729
8	NOT-NONE-NONE	NOT-NONE-NONE	0.9192946	0.032597613	0.0052217664	0.008773206	0.0010536395	0.030031487	0.0030275122
9	NOT-NONE-NONE	NOT-NONE-NONE	0.9298815	0.05672308	0.0075446353	0.0018212333	0.0009745153	0.0017175678	0.001337427
10	NOT-NONE-NONE	NOT-NONE-NONE	0.95344347	0.035350416	0.0063197934	0.00149842	0.0012506886	0.0011719202	0.0009651935
11	HOF-HATE-TIN	HOF-HATE-TIN	0.38637972	0.5004222	0.0089827385	0.09250647	0.0027551278	0.005668209	0.0032856457
12	NOT-NONE-NONE	NOT-NONE-NONE	0.54693294	0.30943596	0.0060058073	0.064619966	0.003406741	0.061019693	0.008578965
13	NOT-NONE-NONE	NOT-NONE-NONE	0.95232207	0.03716552	0.006272027	0.0011926076	0.0008969649	0.0013471949	0.0008035022
14	NOT-NONE-NONE	NOT-NONE-NONE	0.7885862	0.15706766	0.03386762	0.008511473	0.0060767266	0.0035492266	0.0023409654
15	HOF-PRFN-TIN	HOF-PRFN-TIN	0.007391279	0.0067038676	0.0087302895	0.021401264	0.011225816	0.82487494	0.119672686
16	NOT-NONE-NONE	NOT-NONE-NONE	0.9458	0.040194675	0.0035584588	0.0030876517	0.0006235794	0.005055615	0.0016801925
17	NOT-NONE-NONE	NOT-NONE-NONE	0.93814	0.051071297	0.006854015	0.0010619721	0.001041527	0.0009778411	0.0008535293
18	NOT-NONE-NONE	NOT-NONE-NONE	0.78391796	0.19005902	0.016587097	0.0034295202	0.0029107556	0.0015282047	0.0015673279
19	NOT-NONE-NONE	NOT-NONE-NONE	0.96068597	0.02470576	0.0095795905	0.0010661636	0.0013071683	0.0014521356	0.0012030427
20	NOT-NONE-NONE	NOT-NONE-NONE	0.9450598	0.031161033	0.003066548	0.0059389803	0.00069044257	0.012313913	0.0017693553
21	NOT-NONE-NONE	NOT-NONE-NONE	0.9661845	0.022315042	0.0056528402	0.0018428667	0.0006977447	0.0022835946	0.0010230925
22	NOT-NONE-NONE	NOT-NONE-NONE	0.7126513	0.270905	0.005477484	0.0045456793	0.0017332846	0.0028298495	0.0018573656
