id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.9915026	0.008497531
1	HOF	HOF	0.010899939	0.9891
2	NOT	NOT	0.98955613	0.010443702
3	NOT	NOT	0.98185676	0.018143078
4	NOT	NOT	0.99078566	0.009214329
5	NOT	NOT	0.65569174	0.34430835
6	NOT	NOT	0.9817229	0.018277286
7	HOF	NOT	0.81489074	0.1851093
8	NOT	NOT	0.9765718	0.023428243
9	NOT	NOT	0.9921794	0.007820741
10	NOT	NOT	0.988475	0.011524834
11	HOF	HOF	0.0052774274	0.9947225
12	NOT	NOT	0.9874337	0.012566354
13	NOT	NOT	0.93792915	0.06207079
14	NOT	NOT	0.97499907	0.025000952
15	HOF	HOF	0.0110039655	0.98899597
16	NOT	NOT	0.9629442	0.037055794
17	NOT	NOT	0.9916586	0.008341327
18	NOT	NOT	0.9746825	0.025317516
19	NOT	NOT	0.9898339	0.01016616
20	NOT	NOT	0.97756916	0.022430932
21	NOT	NOT	0.9947825	0.005217319
22	NOT	NOT	0.9887932	0.011206856
23	HOF	HOF	0.095431924	0.9045681
24	NOT	NOT	0.99086314	0.009136922
25	NOT	NOT	0.9686669	0.031333074
26	NOT	NOT	0.93419915	0.0658008
27	HOF	HOF	0.005230032	0.99476993
28	NOT	NOT	0.9919672	0.008032881
29	NOT	NOT	0.98848796	0.011512059
30	NOT	NOT	0.97231084	0.027689135
31	NOT	NOT	0.9488569	0.051143043
32	HOF	HOF	0.004762496	0.9952375
33	NOT	NOT	0.98238665	0.017613256
34	HOF	HOF	0.020658711	0.9793414
35	NOT	NOT	0.98582184	0.014178174
36	NOT	NOT	0.984266	0.015733993
37	NOT	NOT	0.99445313	0.005546902
38	NOT	NOT	0.9903414	0.009658532
39	NOT	NOT	0.9793505	0.020649454
40	NOT	NOT	0.99159926	0.008400679
41	NOT	NOT	0.9857281	0.0142717725
42	NOT	NOT	0.98501766	0.014982428
43	HOF	HOF	0.005069464	0.9949305
44	HOF	NOT	0.926878	0.073122025
45	NOT	NOT	0.9922648	0.007735297
46	HOF	HOF	0.33125934	0.6687407
47	HOF	HOF	0.27311265	0.7268873
48	HOF	HOF	0.010843785	0.9891561
49	HOF	HOF	0.05856755	0.94143254
50	NOT	NOT	0.99119085	0.008809219
51	HOF	HOF	0.0048249	0.9951751
52	NOT	NOT	0.9836579	0.01634213
53	NOT	NOT	0.9726118	0.027388223
54	NOT	HOF	0.24372122	0.75627875
55	NOT	NOT	0.9684502	0.031549778
56	NOT	NOT	0.9635587	0.03644126
57	NOT	NOT	0.9584496	0.04155033
58	NOT	NOT	0.9889724	0.011027456
59	NOT	NOT	0.9913721	0.008627768
60	NOT	NOT	0.73752815	0.26247182
61	HOF	HOF	0.004940518	0.99505955
62	NOT	NOT	0.8837087	0.11629121
63	HOF	HOF	0.0061916793	0.99380845
64	NOT	NOT	0.96225274	0.03774724
65	NOT	NOT	0.97991806	0.020081906
66	NOT	NOT	0.97283685	0.027163109
67	NOT	NOT	0.98003817	0.019961812
68	NOT	NOT	0.9903617	0.009638229
69	NOT	NOT	0.9917981	0.008201883
70	NOT	NOT	0.9820921	0.017907882
71	NOT	NOT	0.9908834	0.009116598
72	NOT	NOT	0.993853	0.006147082
73	NOT	NOT	0.99329346	0.0067065437
74	NOT	NOT	0.9660172	0.03398279
75	NOT	NOT	0.9910495	0.008950599
76	NOT	NOT	0.99409235	0.0059075668
77	NOT	NOT	0.9944041	0.005595952
78	NOT	NOT	0.91098505	0.089014985
79	NOT	NOT	0.9830646	0.01693545
80	NOT	NOT	0.95750487	0.04249513
81	NOT	NOT	0.9680902	0.031909764
