id	label	task_2_preds	HATE_probs	OFFN_probs	PRFN_probs
0	HATE	HATE	0.9319838	0.06145246	0.006563591
1	PRFN	PRFN	0.14294705	0.12282328	0.7342297
2	HATE	HATE	0.88066304	0.11025779	0.009079224
3	PRFN	PRFN	0.029628173	0.027011473	0.9433603
4	HATE	HATE	0.97820425	0.012934397	0.008861418
5	HATE	HATE	0.89206094	0.09513714	0.012802117
6	PRFN	PRFN	0.0274418	0.028645465	0.9439127
7	HATE	HATE	0.9744071	0.01951226	0.0060807033
8	PRFN	PRFN	0.04162553	0.06237625	0.8959983
9	PRFN	PRFN	0.042293165	0.047661863	0.910045
10	PRFN	PRFN	0.3005924	0.109487094	0.58992046
11	PRFN	PRFN	0.06021015	0.037505347	0.9022845
12	PRFN	PRFN	0.03071667	0.03067753	0.9386058
13	OFFN	OFFN	0.14019848	0.84282255	0.016978968
14	PRFN	PRFN	0.09038328	0.13488562	0.77473104
15	PRFN	PRFN	0.031162266	0.027506215	0.94133157
16	PRFN	PRFN	0.063206114	0.10058216	0.83621174
17	OFFN	OFFN	0.14709528	0.83969223	0.013212556
18	HATE	HATE	0.7472578	0.18712424	0.06561788
19	OFFN	OFFN	0.08261962	0.8915245	0.025855906
20	OFFN	OFFN	0.36718842	0.61410946	0.01870201
21	PRFN	PRFN	0.04247773	0.027427658	0.9300946
22	OFFN	OFFN	0.20814992	0.76995647	0.021893663
23	PRFN	PRFN	0.14455318	0.16120121	0.6942457
24	PRFN	PRFN	0.05456236	0.05143212	0.8940056
25	OFFN	OFFN	0.16492613	0.7041112	0.13096274
26	OFFN	PRFN	0.33839938	0.28960398	0.37199658
27	OFFN	HATE	0.4726709	0.24398614	0.28334293
28	PRFN	PRFN	0.05471986	0.08232507	0.862955
29	PRFN	PRFN	0.13245311	0.32569432	0.54185253
30	OFFN	OFFN	0.15045235	0.8308486	0.018699188
31	PRFN	PRFN	0.033156466	0.047300845	0.91954273
32	OFFN	OFFN	0.07241023	0.9079652	0.019624474
33	HATE	HATE	0.97569823	0.016068611	0.008232995
34	PRFN	PRFN	0.035466332	0.029336227	0.93519753
