id	label	task_3_preds	TIN_probs	UNT_probs
0	TIN	TIN	0.9898386	0.010161377
1	TIN	TIN	0.98401517	0.0159849
2	TIN	TIN	0.98682624	0.013173653
3	TIN	TIN	0.98839396	0.011605978
4	TIN	TIN	0.99086124	0.009138809
5	TIN	UNT	0.3874468	0.6125532
6	TIN	TIN	0.99104714	0.008952767
7	TIN	TIN	0.9866705	0.013329378
8	TIN	TIN	0.9794702	0.020529764
9	TIN	TIN	0.8490973	0.1509027
10	TIN	TIN	0.98550767	0.01449247
11	TIN	TIN	0.9473194	0.05268054
12	TIN	TIN	0.8678734	0.1321266
13	TIN	TIN	0.98136884	0.018631075
14	TIN	TIN	0.99057686	0.009423291
15	TIN	TIN	0.98833317	0.0116667915
16	TIN	TIN	0.9728084	0.027191503
17	TIN	TIN	0.99073416	0.009265932
18	TIN	TIN	0.9899021	0.010097835
19	TIN	TIN	0.98155636	0.018443594
20	TIN	TIN	0.98955405	0.010446123
21	UNT	UNT	0.1761573	0.8238427
22	TIN	TIN	0.9908444	0.009155544
23	TIN	TIN	0.98719853	0.012801507
24	UNT	TIN	0.98544705	0.014552959
25	TIN	TIN	0.9911526	0.008847494
26	TIN	TIN	0.98640823	0.013591856
27	TIN	TIN	0.98758644	0.0124136815
28	TIN	TIN	0.98095745	0.01904249
29	UNT	UNT	0.19150086	0.80849904
30	TIN	TIN	0.9785538	0.021446208
31	TIN	TIN	0.9872564	0.012743513
32	TIN	TIN	0.9907599	0.009239989
33	TIN	TIN	0.98984426	0.010155665
34	TIN	TIN	0.93544817	0.06455183
35	TIN	TIN	0.9908135	0.00918644
36	TIN	TIN	0.9914511	0.008549106
37	TIN	TIN	0.9906928	0.009307158
38	TIN	TIN	0.99135536	0.008644693
39	TIN	TIN	0.69390106	0.30609894
40	TIN	TIN	0.983169	0.01683105
41	TIN	TIN	0.9901235	0.009876392
42	TIN	TIN	0.9873028	0.012697215
43	TIN	TIN	0.86468494	0.13531499
44	TIN	TIN	0.9547449	0.045255132
45	TIN	TIN	0.9863386	0.013661316
46	TIN	TIN	0.98769504	0.0123048555
47	TIN	TIN	0.98894835	0.011051523
48	TIN	TIN	0.9880504	0.011949489
49	TIN	TIN	0.98744005	0.012559842
50	TIN	TIN	0.9767627	0.023237295
51	TIN	TIN	0.9792011	0.02079895
52	TIN	TIN	0.95194006	0.04805991
53	TIN	TIN	0.985393	0.014607048
54	TIN	TIN	0.96470064	0.0352993
55	TIN	TIN	0.9669633	0.033036638
56	TIN	TIN	0.97910464	0.020895364
57	TIN	TIN	0.9885549	0.011445113
58	TIN	TIN	0.95219505	0.047804885
59	TIN	TIN	0.6327715	0.3672285
60	TIN	TIN	0.9839283	0.016071761
61	TIN	TIN	0.97630966	0.023690311
62	TIN	TIN	0.9528853	0.047114685
63	TIN	TIN	0.99081516	0.009184982
64	TIN	TIN	0.97232634	0.027673578
65	TIN	TIN	0.9907266	0.009273504
66	TIN	TIN	0.98484856	0.015151391
67	TIN	TIN	0.98914456	0.010855414
68	TIN	TIN	0.99107295	0.008927177
69	TIN	TIN	0.99067086	0.009329032
70	TIN	TIN	0.98514587	0.014854058
71	TIN	TIN	0.98243374	0.01756627
72	TIN	TIN	0.99058205	0.0094179055
73	TIN	TIN	0.9818639	0.018135985
74	TIN	TIN	0.9837672	0.016232839
75	TIN	TIN	0.99050266	0.009497362
76	TIN	TIN	0.9814287	0.018571362
77	TIN	TIN	0.9814155	0.01858455
78	TIN	TIN	0.98703444	0.012965593
79	TIN	TIN	0.98498267	0.015017347
80	TIN	TIN	0.9914097	0.00859046
81	TIN	TIN	0.97272295	0.027277088
82	TIN	TIN	0.9875038	0.012496198
83	TIN	TIN	0.9826881	0.017311817
84	TIN	TIN	0.93487424	0.06512573
85	TIN	TIN	0.9911074	0.008892521
86	TIN	TIN	0.99056834	0.009431509
87	TIN	TIN	0.9638953	0.03610469
88	TIN	TIN	0.9850315	0.014968382
89	TIN	TIN	0.9896017	0.010398176
90	UNT	UNT	0.05732655	0.9426735
91	TIN	TIN	0.991184	0.00881593
92	TIN	TIN	0.98315734	0.016842747
93	TIN	TIN	0.987834	0.012166174
94	TIN	TIN	0.9826137	0.017386395
95	TIN	TIN	0.98811966	0.0118803
96	TIN	TIN	0.9826769	0.01732308
97	TIN	TIN	0.9905343	0.009465647
98	TIN	TIN	0.9894377	0.010562185
99	TIN	TIN	0.98706645	0.012933459
100	TIN	TIN	0.99090636	0.009093648
101	TIN	TIN	0.9896991	0.010300857
102	TIN	TIN	0.95832604	0.041674018
103	TIN	TIN	0.9786717	0.021328306
104	TIN	TIN	0.9775871	0.0224129
105	TIN	TIN	0.98515743	0.014842687
106	TIN	TIN	0.9850357	0.014964294
107	TIN	TIN	0.9764011	0.023598796
108	TIN	TIN	0.9574335	0.04256648
109	TIN	TIN	0.9910394	0.008960702
110	TIN	TIN	0.98995686	0.010043084
111	TIN	TIN	0.9881145	0.011885558
112	TIN	TIN	0.9878644	0.012135686
113	TIN	TIN	0.8495819	0.15041801
114	TIN	TIN	0.99041766	0.009582482
115	TIN	TIN	0.97774535	0.022254722
116	TIN	TIN	0.9785669	0.02143309
117	TIN	TIN	0.9837139	0.01628622
118	TIN	TIN	0.98561037	0.014389655
119	TIN	TIN	0.991439	0.008561059
120	TIN	TIN	0.99092835	0.009071647
121	TIN	TIN	0.98889697	0.011102928
122	TIN	TIN	0.980126	0.019874077
123	TIN	TIN	0.98050886	0.01949102
124	TIN	TIN	0.9879199	0.012080099
125	TIN	TIN	0.9858863	0.014113816
126	TIN	TIN	0.9876293	0.01237064
127	TIN	TIN	0.987275	0.0127249565
128	TIN	TIN	0.9826614	0.017338542
129	TIN	TIN	0.98740894	0.0125909755
130	TIN	TIN	0.9861886	0.0138115715
131	TIN	TIN	0.9894554	0.010544662
132	TIN	TIN	0.99090517	0.009094784
133	TIN	TIN	0.97922736	0.020772634
134	TIN	TIN	0.98158294	0.01841714
135	TIN	TIN	0.9543501	0.045649856
136	TIN	TIN	0.9744626	0.025537422
137	TIN	TIN	0.95489943	0.045100596
138	TIN	TIN	0.98391	0.01608991
139	TIN	TIN	0.98997265	0.010027379
140	TIN	TIN	0.98030585	0.019694218
141	TIN	TIN	0.96466535	0.035334732
142	TIN	TIN	0.989158	0.010841985
143	TIN	TIN	0.9887454	0.011254737
144	TIN	TIN	0.9907745	0.009225465
145	TIN	TIN	0.98137337	0.018626615
146	TIN	TIN	0.99091035	0.009089503
147	TIN	TIN	0.9805135	0.019486612
148	TIN	TIN	0.9834895	0.016510483
149	TIN	TIN	0.9876663	0.012333686
150	TIN	TIN	0.8661631	0.13383693
151	TIN	TIN	0.8890101	0.11098985
152	TIN	TIN	0.9840238	0.015976038
153	TIN	TIN	0.99073696	0.009262929
154	TIN	TIN	0.98727286	0.012727129
155	TIN	TIN	0.9843263	0.015673848
156	TIN	TIN	0.9552418	0.04475815
157	TIN	TIN	0.9550762	0.04492376
158	TIN	TIN	0.9666919	0.033308115
159	TIN	TIN	0.9888109	0.011189102
