id	label	task_4_preds	NOT-NONE-NONE_probs	HOF-HATE-TIN_probs	HOF-HATE-UNT_probs	HOF-OFFN-TIN_probs	HOF-OFFN-UNT_probs	HOF-PRFN-TIN_probs	HOF-PRFN-UNT_probs
0	NOT-NONE-NONE	NOT-NONE-NONE	0.9561862	0.03623992	0.0043032602	0.0009023061	0.0007942047	0.0009867828	0.00058760925
1	HOF-HATE-TIN	HOF-HATE-TIN	0.06967872	0.7760294	0.019762563	0.11288728	0.012247944	0.00480918	0.004584861
2	NOT-NONE-NONE	NOT-NONE-NONE	0.8245364	0.16096999	0.006202944	0.0026777047	0.0017415369	0.002459317	0.0014123053
3	NOT-NONE-NONE	NOT-NONE-NONE	0.7727773	0.19671455	0.010426287	0.010084541	0.0025505226	0.00590345	0.001543287
4	NOT-NONE-NONE	NOT-NONE-NONE	0.956509	0.0296548	0.00782446	0.0010524011	0.0014949294	0.0020753427	0.0013888027
5	NOT-NONE-NONE	NOT-NONE-NONE	0.96077204	0.024701241	0.0043044793	0.0018323736	0.00054612855	0.006933955	0.0009099669
6	NOT-NONE-NONE	NOT-NONE-NONE	0.7947278	0.18902966	0.005207099	0.0035067212	0.0017397308	0.0041298433	0.0016589336
7	HOF-PRFN-TIN	HOF-PRFN-TIN	0.088355854	0.03470392	0.010887825	0.100425884	0.004949514	0.73528385	0.025393134
8	NOT-NONE-NONE	NOT-NONE-NONE	0.95738834	0.018599004	0.0042100507	0.0018533976	0.0005784661	0.015869241	0.0015015535
9	NOT-NONE-NONE	NOT-NONE-NONE	0.9646373	0.023051614	0.0077364407	0.0009137976	0.001336537	0.001342881	0.0009815737
10	NOT-NONE-NONE	NOT-NONE-NONE	0.9627597	0.020475935	0.009085686	0.0015405166	0.0017945843	0.0027498333	0.0015935599
11	HOF-HATE-TIN	HOF-HATE-TIN	0.20235737	0.7230812	0.0116985785	0.04854969	0.005067323	0.0058939066	0.0033519545
12	NOT-NONE-NONE	NOT-NONE-NONE	0.628258	0.34759745	0.0064436872	0.0074026366	0.0026986033	0.005334055	0.002265592
13	NOT-NONE-NONE	NOT-NONE-NONE	0.93803036	0.032317504	0.021436326	0.0015442396	0.00307458	0.0016703637	0.00192641
14	NOT-NONE-NONE	NOT-NONE-NONE	0.844917	0.12474069	0.018698705	0.00498412	0.0030166814	0.0019883674	0.0016543905
15	HOF-PRFN-TIN	HOF-PRFN-TIN	0.0036852008	0.0033814386	0.012443717	0.011537403	0.0126798265	0.84248066	0.113791734
16	NOT-NONE-NONE	NOT-NONE-NONE	0.96090174	0.014112404	0.006115332	0.0016946031	0.0008962296	0.014103208	0.0021767344
17	NOT-NONE-NONE	NOT-NONE-NONE	0.9559122	0.028787738	0.008216872	0.0011983765	0.0016786045	0.0025125865	0.0016938259
18	NOT-NONE-NONE	NOT-NONE-NONE	0.87317616	0.08918716	0.010174928	0.005483505	0.0019343242	0.016696073	0.0033478525
19	NOT-NONE-NONE	NOT-NONE-NONE	0.959164	0.01537722	0.012356609	0.0015344353	0.0020769197	0.0061140344	0.0033769945
20	NOT-NONE-NONE	NOT-NONE-NONE	0.90604943	0.030182362	0.004948506	0.0051094536	0.0009790611	0.049560416	0.0031704735
21	NOT-NONE-NONE	NOT-NONE-NONE	0.9694921	0.013866336	0.008679549	0.0009523997	0.0013002685	0.0040904717	0.001618789
22	NOT-NONE-NONE	NOT-NONE-NONE	0.895103	0.09433268	0.005751804	0.0017786645	0.001101093	0.0011424001	0.00079026574
23	HOF-HATE-TIN	HOF-HATE-TIN	0.24512087	0.7018826	0.010100961	0.024877846	0.0064814487	0.006744678	0.0047915317
24	NOT-NONE-NONE	NOT-NONE-NONE	0.9670635	0.014689518	0.012167097	0.0009480621	0.0018134454	0.001869875	0.0014485575
25	NOT-NONE-NONE	NOT-NONE-NONE	0.94593984	0.045176964	0.004323814	0.0014918289	0.0007860397	0.0015716356	0.0007097492
26	NOT-NONE-NONE	NOT-NONE-NONE	0.8918068	0.09783887	0.0041532037	0.0016185545	0.0010239554	0.0025531582	0.0010055255
27	HOF-HATE-TIN	HOF-HATE-TIN	0.061908677	0.6254642	0.09051874	0.14222772	0.045472708	0.015973166	0.018434906
28	NOT-NONE-NONE	NOT-NONE-NONE	0.96275187	0.013759798	0.015661506	0.00096775993	0.002048782	0.0030706888	0.0017395848
