id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.99525744	0.004742594
1	HOF	HOF	0.0032397788	0.99676013
2	HOF	HOF	0.0020791194	0.997921
3	NOT	NOT	0.9952688	0.004731167
4	NOT	NOT	0.99522877	0.0047712037
5	NOT	NOT	0.99516755	0.0048323646
6	NOT	NOT	0.995986	0.004014007
7	NOT	NOT	0.979248	0.0207519
8	NOT	NOT	0.99441427	0.0055857464
9	NOT	NOT	0.99549764	0.0045024464
10	NOT	NOT	0.99078846	0.0092115
11	NOT	NOT	0.6026123	0.39738768
12	NOT	NOT	0.9959406	0.0040594526
13	NOT	NOT	0.970733	0.029267052
14	NOT	NOT	0.99547696	0.004523044
15	NOT	NOT	0.98416555	0.015834548
16	NOT	NOT	0.9957853	0.0042145294
17	NOT	NOT	0.990233	0.00976705
18	HOF	HOF	0.0024944318	0.99750566
19	NOT	NOT	0.994295	0.0057049072
20	HOF	HOF	0.002409523	0.9975906
21	NOT	NOT	0.9956609	0.0043390132
22	HOF	HOF	0.002217149	0.99778277
23	NOT	NOT	0.9929314	0.007068483
24	NOT	NOT	0.9941516	0.0058484273
25	NOT	NOT	0.99522686	0.004773088
26	HOF	HOF	0.008657828	0.9913423
27	NOT	NOT	0.9953087	0.0046911538
28	NOT	NOT	0.7917617	0.20823833
29	HOF	HOF	0.002210528	0.99778944
30	NOT	NOT	0.9949564	0.005043612
31	NOT	NOT	0.995599	0.0044010803
32	NOT	NOT	0.9815612	0.018438863
33	HOF	HOF	0.002211211	0.9977887
34	NOT	NOT	0.9952373	0.0047627045
35	NOT	NOT	0.98875976	0.011240096
36	NOT	NOT	0.9951459	0.0048541194
37	NOT	NOT	0.9953911	0.004608863
38	NOT	NOT	0.99208426	0.007915783
39	NOT	NOT	0.99461675	0.005383366
40	HOF	HOF	0.0021336433	0.9978663
41	NOT	NOT	0.98112833	0.018871672
42	NOT	NOT	0.99218035	0.007819711
43	NOT	NOT	0.9422149	0.057785068
44	NOT	NOT	0.9959518	0.004048264
45	NOT	NOT	0.97792244	0.022077566
46	NOT	NOT	0.98818755	0.011812548
47	NOT	NOT	0.9959921	0.004007833
48	NOT	NOT	0.98625773	0.013742239
49	NOT	NOT	0.9955615	0.004438645
50	NOT	NOT	0.97351456	0.026485424
51	HOF	HOF	0.0021102945	0.9978896
52	NOT	NOT	0.99122584	0.008774097
53	HOF	HOF	0.002211017	0.99778897
54	NOT	NOT	0.99501854	0.0049813474
55	NOT	NOT	0.9942566	0.005743371
56	HOF	HOF	0.009735214	0.99026465
57	NOT	NOT	0.995782	0.0042181285
58	HOF	HOF	0.0021379094	0.997862
59	NOT	NOT	0.99427414	0.0057259193
60	NOT	NOT	0.9797141	0.020285951
61	HOF	HOF	0.00214504	0.9978549
62	HOF	HOF	0.002103869	0.997896
63	NOT	NOT	0.98480314	0.015196932
64	NOT	NOT	0.99569535	0.0043045776
65	NOT	NOT	0.9951424	0.004857667
66	HOF	HOF	0.0024401145	0.9975599
67	NOT	NOT	0.9766241	0.023375953
68	NOT	NOT	0.9954487	0.0045513296
69	NOT	NOT	0.99541813	0.0045818016
70	NOT	NOT	0.99521524	0.004784696
71	NOT	NOT	0.9813148	0.01868523
72	NOT	NOT	0.9958181	0.004181959
73	HOF	HOF	0.0022189987	0.99778086
74	HOF	HOF	0.0025009657	0.99749905
75	NOT	NOT	0.9958245	0.0041754716
76	NOT	NOT	0.9953937	0.0046063187
77	HOF	HOF	0.0021668847	0.99783295
78	NOT	NOT	0.990852	0.009148109
79	NOT	NOT	0.99542284	0.0045770453
80	NOT	NOT	0.99593085	0.004069131
81	NOT	NOT	0.9959993	0.004000677
82	NOT	NOT	0.9856073	0.0143926265
83	NOT	NOT	0.9962453	0.003754718
84	NOT	NOT	0.995373	0.004626884
85	NOT	NOT	0.99451476	0.005485346
86	NOT	NOT	0.995589	0.0044109677
87	NOT	NOT	0.93618244	0.06381746
88	NOT	NOT	0.996155	0.003844864
89	HOF	HOF	0.0022900957	0.99771
90	NOT	NOT	0.9572218	0.042778116
91	NOT	NOT	0.979723	0.020276958
92	HOF	NOT	0.9414356	0.058564395
93	NOT	HOF	0.06334528	0.93665475
94	NOT	NOT	0.9954167	0.0045832307
95	NOT	NOT	0.99576753	0.0042325202
96	NOT	NOT	0.9955382	0.004461856
97	HOF	HOF	0.002098733	0.99790126
98	NOT	NOT	0.995499	0.0045009525
99	NOT	NOT	0.8951282	0.10487178
100	HOF	HOF	0.0020974195	0.9979027
101	NOT	NOT	0.99485797	0.005141938
102	NOT	NOT	0.995899	0.004100946
103	HOF	HOF	0.0021710766	0.99782896
104	NOT	NOT	0.9958646	0.0041354815
105	HOF	HOF	0.0022715353	0.9977285
106	NOT	NOT	0.9957635	0.0042364514
107	NOT	NOT	0.9957034	0.0042966558
108	NOT	NOT	0.9935476	0.006452342
109	NOT	NOT	0.9939312	0.0060687778
110	NOT	NOT	0.99503136	0.004968646
111	HOF	HOF	0.002086244	0.9979139
112	HOF	HOF	0.0020458484	0.9979541
113	NOT	NOT	0.9954948	0.004505277
114	NOT	NOT	0.9934124	0.0065876367
115	NOT	NOT	0.9934389	0.006561069
116	HOF	HOF	0.0021319592	0.9978682
117	HOF	HOF	0.0025496155	0.99745053
118	HOF	HOF	0.00253691	0.9974631
119	NOT	NOT	0.99168414	0.008315954
120	HOF	HOF	0.0037085032	0.9962914
121	HOF	HOF	0.24118076	0.7588192
122	NOT	NOT	0.93576646	0.0642336
123	NOT	NOT	0.9956816	0.004318286
124	NOT	NOT	0.99318904	0.006811062
125	NOT	NOT	0.9950558	0.004944223
126	NOT	NOT	0.9840598	0.015940204
127	NOT	NOT	0.9957072	0.0042927996
128	HOF	HOF	0.016534291	0.9834656
129	NOT	NOT	0.99587625	0.004123706
130	NOT	NOT	0.996137	0.0038628473
131	NOT	NOT	0.99224186	0.007758207
132	NOT	NOT	0.9776554	0.022344606
133	NOT	NOT	0.9952591	0.004740794
134	NOT	NOT	0.99495184	0.0050480342
135	NOT	NOT	0.9816516	0.018348288
136	NOT	NOT	0.9829069	0.017093157
137	NOT	NOT	0.9889571	0.011042863
138	HOF	HOF	0.0043400233	0.99565995
139	HOF	HOF	0.0029672354	0.99703276
140	HOF	HOF	0.00226559	0.9977345
141	NOT	NOT	0.9911216	0.008878293
142	HOF	HOF	0.0023385198	0.9976615
143	NOT	NOT	0.9954862	0.0045137405
144	NOT	NOT	0.9957459	0.004254022
145	NOT	NOT	0.99190336	0.008096575
146	NOT	NOT	0.9957958	0.0042041205
147	HOF	HOF	0.009891992	0.9901079
148	HOF	HOF	0.0022010638	0.997799
149	HOF	HOF	0.0022707696	0.99772924
150	NOT	NOT	0.9918494	0.008150452
151	NOT	NOT	0.990968	0.009032006
152	HOF	HOF	0.0032573682	0.99674255
153	NOT	NOT	0.9953538	0.0046463246
154	NOT	NOT	0.9952572	0.0047426643
155	NOT	NOT	0.9926732	0.0073267617
156	NOT	NOT	0.96222943	0.03777048
157	NOT	NOT	0.99582946	0.004170604
158	HOF	HOF	0.0020910983	0.9979089
159	HOF	HOF	0.002394328	0.9976058
160	NOT	NOT	0.995448	0.004551998
161	HOF	HOF	0.0022221236	0.99777776
162	HOF	HOF	0.002086614	0.9979134
163	NOT	NOT	0.99579674	0.0042032944
164	NOT	NOT	0.99605745	0.0039426377
165	NOT	NOT	0.9376016	0.062398367
166	NOT	NOT	0.9946836	0.005316407
167	NOT	NOT	0.988099	0.011900995
168	NOT	NOT	0.99603987	0.0039601624
169	HOF	HOF	0.012253459	0.9877466
170	HOF	HOF	0.002086632	0.9979134
171	NOT	NOT	0.99545324	0.0045468262
172	HOF	HOF	0.0024600653	0.99753994
173	NOT	NOT	0.9786599	0.021340093
