id	label	task_2_preds	HATE_probs	OFFN_probs	PRFN_probs
0	PRFN	PRFN	0.017764598	0.07633183	0.90590364
1	PRFN	PRFN	0.018664673	0.063170545	0.9181648
2	OFFN	OFFN	0.15224694	0.7158803	0.13187282
3	PRFN	PRFN	0.004809471	0.01079465	0.98439574
4	PRFN	PRFN	0.0065655503	0.010862953	0.9825715
5	HATE	OFFN	0.46325773	0.49143738	0.045304812
6	PRFN	PRFN	0.004789841	0.010375512	0.98483473
7	PRFN	PRFN	0.00592397	0.02089935	0.97317684
8	PRFN	PRFN	0.004843978	0.015073586	0.9800826
9	PRFN	PRFN	0.0049138963	0.012895488	0.98219067
10	PRFN	PRFN	0.005526805	0.0096558435	0.9848173
11	HATE	HATE	0.80559695	0.1577596	0.036643453
12	OFFN	HATE	0.55186343	0.39298528	0.055151362
13	PRFN	PRFN	0.056449413	0.19889179	0.7446588
14	PRFN	PRFN	0.0051880726	0.010369843	0.984442
15	PRFN	PRFN	0.0055116564	0.024115413	0.9703729
16	PRFN	PRFN	0.005131504	0.011568197	0.9833003
17	PRFN	PRFN	0.020422548	0.07006654	0.9095108
18	OFFN	OFFN	0.2861305	0.6590645	0.05480504
19	PRFN	PRFN	0.0049496978	0.009503868	0.9855464
20	HATE	HATE	0.6074566	0.33747783	0.05506554
21	PRFN	PRFN	0.0043072673	0.011846245	0.9838465
22	HATE	HATE	0.6627953	0.289011	0.048193745
23	PRFN	PRFN	0.005062531	0.016172176	0.9787653
24	PRFN	PRFN	0.006578054	0.016116979	0.9773049
25	PRFN	PRFN	0.0043738163	0.011134505	0.9844915
26	PRFN	PRFN	0.010531537	0.036234632	0.95323366
27	PRFN	PRFN	0.009848344	0.025352573	0.9647992
28	PRFN	PRFN	0.004838401	0.016139181	0.9790225
29	PRFN	PRFN	0.0045361	0.011692789	0.9837712
30	OFFN	HATE	0.68579286	0.2701086	0.044098582
31	OFFN	PRFN	0.07653238	0.2679077	0.65555984
32	PRFN	PRFN	0.059211094	0.20235881	0.7384301
33	OFFN	OFFN	0.43461818	0.4850923	0.08028956
34	HATE	HATE	0.68193936	0.2653441	0.0527165
35	PRFN	PRFN	0.00501253	0.010209512	0.9847779
36	PRFN	PRFN	0.0057984586	0.010896098	0.98330545
37	HATE	HATE	0.47874162	0.4410888	0.08016959
38	PRFN	PRFN	0.0062142117	0.012028678	0.98175704
39	PRFN	PRFN	0.005408648	0.011836173	0.9827552
40	PRFN	PRFN	0.009504104	0.036825344	0.9536706
41	PRFN	PRFN	0.0060577304	0.0122707775	0.98167163
42	PRFN	PRFN	0.0052755023	0.010036175	0.9846882
43	PRFN	PRFN	0.0045454996	0.012448963	0.98300564
44	PRFN	PRFN	0.021162046	0.091468066	0.8873698
45	PRFN	PRFN	0.01999259	0.07104637	0.90896106
46	PRFN	PRFN	0.005035	0.018305624	0.9766594
47	PRFN	PRFN	0.0043862746	0.012601199	0.9830125
48	OFFN	OFFN	0.35665447	0.5777396	0.06560603
49	OFFN	OFFN	0.23138812	0.72146094	0.04715096
50	PRFN	PRFN	0.009444232	0.017045397	0.97351027
51	PRFN	PRFN	0.004696344	0.011475672	0.98382795
52	PRFN	PRFN	0.030514771	0.10420686	0.8652783
53	PRFN	OFFN	0.21157531	0.7000469	0.08837775
54	PRFN	PRFN	0.07051808	0.32953188	0.59995013
55	PRFN	PRFN	0.007379541	0.022679297	0.9699411
56	PRFN	PRFN	0.0047286726	0.01034213	0.9849294
57	PRFN	PRFN	0.004478311	0.011836833	0.98368484
58	PRFN	PRFN	0.005365007	0.0103414	0.98429364
59	PRFN	PRFN	0.011744107	0.04191706	0.9463389
60	PRFN	PRFN	0.0051025655	0.010352289	0.98454505
