id	label	task_1_preds	NOT_probs	HOF_probs
0	NOT	NOT	0.9942419	0.0057581346
1	HOF	HOF	0.013308122	0.9866919
2	HOF	HOF	0.006143665	0.9938563
3	NOT	NOT	0.99469954	0.005300531
4	NOT	NOT	0.99463904	0.0053609153
5	NOT	NOT	0.9953142	0.004685864
6	NOT	NOT	0.98961043	0.010389542
7	NOT	NOT	0.96195537	0.038044713
8	NOT	NOT	0.9914681	0.008531912
9	NOT	NOT	0.9901823	0.00981768
10	NOT	NOT	0.99136454	0.008635506
11	NOT	NOT	0.9438915	0.056108464
12	NOT	NOT	0.9743614	0.025638526
13	NOT	NOT	0.9757343	0.02426575
14	NOT	NOT	0.96938914	0.030610869
15	NOT	NOT	0.98900944	0.010990662
16	NOT	NOT	0.99067557	0.0093243765
17	NOT	NOT	0.99383664	0.006163295
18	HOF	HOF	0.11701641	0.88298357
19	NOT	NOT	0.9873609	0.012639014
20	HOF	HOF	0.002272597	0.99772733
21	NOT	NOT	0.99225366	0.007746411
22	HOF	HOF	0.002562485	0.9974374
23	NOT	HOF	0.47301176	0.5269882
24	NOT	HOF	0.15767235	0.8423277
25	NOT	NOT	0.99524486	0.004755078
26	HOF	HOF	0.09887258	0.90112746
27	NOT	NOT	0.993748	0.0062519014
28	NOT	NOT	0.555996	0.44400403
29	HOF	HOF	0.0024682737	0.9975316
30	NOT	NOT	0.9762139	0.02378605
31	NOT	NOT	0.9938267	0.0061732363
32	NOT	NOT	0.78612095	0.213879
33	HOF	HOF	0.0036059578	0.996394
34	NOT	NOT	0.98549545	0.014504575
35	NOT	NOT	0.9899545	0.010045368
36	NOT	NOT	0.99152124	0.008478726
37	NOT	NOT	0.99441594	0.005584026
38	NOT	NOT	0.93781394	0.062186167
39	NOT	NOT	0.98934764	0.010652261
40	HOF	HOF	0.002302517	0.99769765
41	NOT	NOT	0.87442195	0.12557797
42	NOT	NOT	0.9883438	0.011656182
43	NOT	NOT	0.9563636	0.0436364
44	NOT	NOT	0.9948133	0.005186685
45	NOT	NOT	0.9749584	0.025041506
46	NOT	NOT	0.9239291	0.07607094
47	NOT	NOT	0.98897403	0.011026004
48	NOT	HOF	0.35062885	0.6493712
49	NOT	NOT	0.990225	0.009775083
50	NOT	NOT	0.99173355	0.008266448
51	HOF	HOF	0.002475158	0.9975247
52	NOT	NOT	0.9937428	0.0062570996
53	HOF	HOF	0.0024063205	0.9975937
54	NOT	NOT	0.9951592	0.0048407037
55	NOT	NOT	0.9887546	0.011245543
56	HOF	HOF	0.41080663	0.5891934
57	NOT	NOT	0.994506	0.005493895
58	HOF	HOF	0.0068472857	0.9931528
59	NOT	NOT	0.990098	0.009901987
60	NOT	NOT	0.9103669	0.08963314
61	HOF	HOF	0.0031896983	0.9968103
62	HOF	HOF	0.0029292419	0.9970708
63	NOT	NOT	0.97506636	0.024933688
64	NOT	NOT	0.9956175	0.0043824823
65	NOT	NOT	0.97801524	0.02198473
66	HOF	HOF	0.0023304839	0.9976696
67	NOT	NOT	0.9807691	0.01923083
68	NOT	NOT	0.9934884	0.0065115932
69	NOT	NOT	0.9704644	0.02953554
70	NOT	NOT	0.99114686	0.008853072
71	NOT	NOT	0.9053389	0.09466107
72	NOT	NOT	0.99519956	0.0048004827
73	HOF	HOF	0.0023760712	0.99762386
74	HOF	HOF	0.008943312	0.9910566
75	NOT	NOT	0.9933692	0.006630797
76	NOT	NOT	0.9941198	0.005880132
77	HOF	HOF	0.006737992	0.993262
78	NOT	NOT	0.9431788	0.05682131
79	NOT	NOT	0.99583614	0.0041640108
