id	label	task_2_preds	HATE_probs	OFFN_probs	PRFN_probs
0	PRFN	PRFN	0.009924876	0.0411348	0.9489403
1	PRFN	PRFN	0.015457462	0.059914056	0.92462856
2	OFFN	OFFN	0.16729972	0.6268212	0.20587906
3	PRFN	PRFN	0.0059370548	0.010416736	0.98364615
4	PRFN	PRFN	0.005800054	0.009972419	0.9842275
5	HATE	OFFN	0.43149278	0.47843942	0.09006779
6	PRFN	PRFN	0.006104424	0.015480143	0.9784153
7	PRFN	PRFN	0.008781506	0.033162165	0.9580562
8	PRFN	PRFN	0.0063260673	0.020141302	0.9735328
9	PRFN	PRFN	0.014457124	0.051653665	0.93388915
10	PRFN	PRFN	0.0055515883	0.014688271	0.9797601
11	HATE	HATE	0.58699393	0.33670425	0.07630174
12	OFFN	OFFN	0.44080585	0.49988955	0.05930454
13	PRFN	PRFN	0.021948509	0.12105347	0.85699797
14	PRFN	PRFN	0.005490611	0.009981244	0.9845281
15	PRFN	PRFN	0.006251159	0.022456884	0.9712921
16	PRFN	PRFN	0.0059190853	0.011478589	0.9826024
17	PRFN	PRFN	0.009591589	0.03956595	0.95084244
18	OFFN	HATE	0.48369294	0.45255983	0.06374729
19	PRFN	PRFN	0.0055774692	0.010128674	0.9842939
20	HATE	HATE	0.41726166	0.34921294	0.23352545
21	PRFN	PRFN	0.00599106	0.017658288	0.9763507
22	HATE	HATE	0.55435514	0.3425094	0.10313543
23	PRFN	PRFN	0.009276923	0.03794526	0.9527777
24	PRFN	PRFN	0.0061551128	0.011243816	0.982601
25	PRFN	PRFN	0.010047174	0.033258352	0.9566944
26	PRFN	PRFN	0.0069433847	0.024662856	0.9683936
27	PRFN	PRFN	0.00685176	0.018006988	0.9751412
28	PRFN	PRFN	0.006281883	0.02409986	0.9696183
29	PRFN	PRFN	0.012572593	0.045442622	0.9419849
30	OFFN	HATE	0.4779725	0.41680092	0.10522668
31	OFFN	OFFN	0.3310586	0.5019612	0.16698024
32	PRFN	PRFN	0.025790466	0.14630286	0.8279067
33	OFFN	HATE	0.4840058	0.4017204	0.11427385
34	HATE	HATE	0.5445364	0.36221284	0.0932507
35	PRFN	PRFN	0.0058380235	0.010729411	0.98343253
36	PRFN	PRFN	0.005459101	0.00953387	0.9850071
37	HATE	HATE	0.5349025	0.35609767	0.10899975
38	PRFN	PRFN	0.006593787	0.011581825	0.9818242
39	PRFN	PRFN	0.006245099	0.011601557	0.9821534
40	PRFN	PRFN	0.02012844	0.10428043	0.87559116
41	PRFN	PRFN	0.005986134	0.011671148	0.9823429
42	PRFN	PRFN	0.00590715	0.010178742	0.98391426
43	PRFN	PRFN	0.0056343847	0.014869847	0.97949576
44	PRFN	PRFN	0.008969269	0.036063407	0.95496726
45	PRFN	PRFN	0.026128586	0.17166352	0.8022079
46	PRFN	PRFN	0.006301128	0.020633321	0.97306544
47	PRFN	PRFN	0.013865589	0.04860738	0.93752706
48	OFFN	OFFN	0.11079571	0.80974424	0.079459965
49	OFFN	OFFN	0.15464509	0.7869735	0.05838138
50	PRFN	PRFN	0.0059130285	0.011798554	0.9822883
51	PRFN	PRFN	0.017637763	0.06776312	0.9145991
52	PRFN	PRFN	0.010379243	0.04919279	0.94042796
53	PRFN	OFFN	0.4217937	0.5141519	0.06405434
54	PRFN	OFFN	0.43517342	0.4872485	0.07757817
55	PRFN	PRFN	0.0057133166	0.015103005	0.9791838
56	PRFN	PRFN	0.0055454024	0.0097170845	0.9847375
57	PRFN	PRFN	0.00650686	0.015271055	0.97822195
58	PRFN	PRFN	0.0065794215	0.012006358	0.9814142
59	PRFN	PRFN	0.0066356426	0.019223047	0.97414136
60	PRFN	PRFN	0.0053768647	0.009701681	0.98492163
61	PRFN	PRFN	0.0062511265	0.011776486	0.9819724
62	PRFN	PRFN	0.0062881615	0.018684259	0.97502756
63	PRFN	PRFN	0.005552864	0.010245048	0.98420215
64	PRFN	PRFN	0.0070019276	0.019081857	0.9739161
65	PRFN	PRFN	0.005615805	0.013370622	0.9810137
66	PRFN	PRFN	0.014093957	0.07871492	0.90719116
67	OFFN	OFFN	0.3573136	0.5936663	0.049020052
68	PRFN	PRFN	0.005614423	0.012728805	0.9816569
69	PRFN	PRFN	0.005620544	0.014326004	0.9800536
70	PRFN	PRFN	0.006004765	0.010116356	0.98387885
71	PRFN	PRFN	0.00711629	0.0107863555	0.98209745
72	HATE	HATE	0.50331646	0.40260136	0.0940822
73	OFFN	HATE	0.52737904	0.37494716	0.09767372
74	OFFN	PRFN	0.0121318735	0.07302871	0.9148395
75	OFFN	OFFN	0.33182615	0.6177451	0.050428763
76	OFFN	PRFN	0.052735507	0.16014059	0.787124
77	OFFN	OFFN	0.40661877	0.5121604	0.08122076
78	OFFN	HATE	0.49618953	0.42826647	0.07554395
79	OFFN	OFFN	0.23139358	0.4276552	0.3409512
80	HATE	HATE	0.5246369	0.36810637	0.10725672
81	OFFN	HATE	0.45672002	0.3333924	0.20988753
82	HATE	HATE	0.49568254	0.36163557	0.14268197
83	OFFN	HATE	0.5625294	0.35062003	0.08685056
84	PRFN	PRFN	0.006019093	0.015178458	0.9788024
85	OFFN	OFFN	0.30295363	0.64518106	0.051865414
86	PRFN	PRFN	0.0053127757	0.0129299015	0.9817573
87	OFFN	OFFN	0.1101539	0.6562692	0.23357707
88	OFFN	OFFN	0.3861458	0.49090543	0.122948706
89	PRFN	PRFN	0.0069787716	0.010918889	0.9821024
90	HATE	HATE	0.49423206	0.3698524	0.13591546
91	PRFN	PRFN	0.0070957798	0.011851483	0.98105276
92	HATE	HATE	0.5243755	0.36303788	0.11258667
93	HATE	PRFN	0.02505287	0.07904938	0.89589775
94	HATE	PRFN	0.07557565	0.19714084	0.7272834
95	PRFN	PRFN	0.0061158277	0.015253749	0.9786304
96	PRFN	PRFN	0.007136978	0.023457833	0.9694052
97	OFFN	HATE	0.45614326	0.4238277	0.12002895
98	PRFN	PRFN	0.005780418	0.015875084	0.97834444
99	PRFN	PRFN	0.0061459066	0.018425679	0.9754284
100	HATE	HATE	0.4825626	0.3789138	0.1385236
101	PRFN	PRFN	0.012073719	0.045851827	0.9420745
102	PRFN	PRFN	0.0062815775	0.02508514	0.9686333
103	HATE	OFFN	0.42814633	0.5249778	0.046875916
104	PRFN	PRFN	0.008124811	0.015314268	0.97656095
105	PRFN	PRFN	0.005762392	0.010057509	0.9841801
106	PRFN	PRFN	0.0059927455	0.010742869	0.98326445
107	PRFN	PRFN	0.018811299	0.05037135	0.9308173
108	PRFN	PRFN	0.0073422375	0.018152822	0.9745049
109	PRFN	PRFN	0.0054962663	0.009946887	0.98455673
110	PRFN	OFFN	0.33199883	0.61999196	0.04800913
111	PRFN	PRFN	0.006827994	0.012265396	0.9809066
112	PRFN	PRFN	0.008674398	0.026383985	0.9649416
113	HATE	HATE	0.47909713	0.39996946	0.120933264
114	PRFN	PRFN	0.0057684155	0.010637034	0.9835946
115	HATE	HATE	0.49534997	0.36767903	0.13697097
116	HATE	OFFN	0.43248737	0.44879723	0.1187154
117	HATE	HATE	0.4732953	0.42838746	0.0983173
118	HATE	HATE	0.57843375	0.32981056	0.091755725
119	PRFN	PRFN	0.011191359	0.03643987	0.95236886
120	PRFN	PRFN	0.029190326	0.081585556	0.8892242
121	PRFN	PRFN	0.005604882	0.014283564	0.98011154
122	PRFN	PRFN	0.009655687	0.037453305	0.95289105
123	PRFN	PRFN	0.0057559577	0.011309665	0.9829344
124	PRFN	PRFN	0.009888224	0.029361712	0.9607501
125	PRFN	PRFN	0.010946571	0.02288185	0.9661716
126	PRFN	PRFN	0.041669287	0.26990017	0.68843055
127	PRFN	PRFN	0.06292764	0.4323114	0.5047609
128	PRFN	PRFN	0.011796438	0.0361303	0.9520733
129	PRFN	PRFN	0.011610152	0.0353191	0.95307076
130	PRFN	PRFN	0.0057688146	0.012020283	0.982211
131	PRFN	PRFN	0.0060743075	0.010098201	0.9838275
132	PRFN	PRFN	0.0071497005	0.012019945	0.9808304
133	PRFN	PRFN	0.007132243	0.016577467	0.9762902
134	OFFN	OFFN	0.20701842	0.7574702	0.035511415
135	PRFN	PRFN	0.0069520576	0.0222505	0.9707973
136	PRFN	PRFN	0.010982693	0.036788907	0.95222855
137	PRFN	PRFN	0.0060289395	0.0114414515	0.9825296
138	PRFN	PRFN	0.006751136	0.010917952	0.9823309
139	PRFN	PRFN	0.011834796	0.039029565	0.94913554
140	HATE	HATE	0.5537829	0.33124274	0.11497445
141	OFFN	PRFN	0.0994437	0.2825877	0.61796856
142	PRFN	PRFN	0.0076295114	0.013761164	0.97860944
143	PRFN	PRFN	0.008132353	0.033532742	0.9583349
144	PRFN	PRFN	0.0055967737	0.010042255	0.984361
145	PRFN	PRFN	0.011589532	0.050492045	0.9379183
146	PRFN	PRFN	0.013053209	0.062900536	0.92404634
147	PRFN	PRFN	0.005325612	0.009377521	0.9852969
148	PRFN	PRFN	0.07946527	0.24277653	0.6777582
149	PRFN	PRFN	0.0064685214	0.011664806	0.9818666
150	PRFN	PRFN	0.008178982	0.02858711	0.963234
151	PRFN	PRFN	0.009122843	0.018075956	0.97280127
152	PRFN	PRFN	0.021724503	0.08173163	0.8965438
153	PRFN	PRFN	0.007210104	0.026390968	0.966399
154	PRFN	PRFN	0.0065451604	0.016090218	0.97736454
155	PRFN	PRFN	0.007782736	0.032651983	0.95956516
156	PRFN	PRFN	0.014088401	0.08247562	0.9034359
157	OFFN	HATE	0.44887137	0.40848213	0.14264655
158	PRFN	PRFN	0.020447649	0.0820222	0.8975303
159	HATE	HATE	0.47003606	0.43138131	0.09858272
160	HATE	HATE	0.53237784	0.39198107	0.07564101
161	HATE	HATE	0.5563319	0.34098184	0.10268628
162	HATE	HATE	0.5658065	0.33660826	0.09758531
163	PRFN	PRFN	0.0060541183	0.011570691	0.9823752
164	PRFN	PRFN	0.007339861	0.016183369	0.97647667
165	PRFN	PRFN	0.006571307	0.01169309	0.9817355
166	HATE	HATE	0.58906895	0.33325592	0.077675186
167	HATE	HATE	0.48863274	0.42627916	0.085088156
168	PRFN	PRFN	0.007590177	0.026508482	0.96590143
169	HATE	HATE	0.5237998	0.3890963	0.08710388
170	PRFN	PRFN	0.025928508	0.08522662	0.8888448
171	PRFN	PRFN	0.006104127	0.012643149	0.9812528
172	PRFN	PRFN	0.00704753	0.012630236	0.9803223
173	PRFN	PRFN	0.0075629833	0.011583576	0.9808535
174	PRFN	PRFN	0.024977753	0.081492476	0.89352983
175	PRFN	PRFN	0.0054323548	0.010341707	0.98422587
176	PRFN	PRFN	0.0056681223	0.009860285	0.98447156
177	PRFN	PRFN	0.008656309	0.014720531	0.9766231
178	PRFN	PRFN	0.025240328	0.12398364	0.85077596
179	PRFN	PRFN	0.0081333	0.030579787	0.9612869
180	OFFN	OFFN	0.3072636	0.6415624	0.051173925
181	PRFN	PRFN	0.009803384	0.034906324	0.95529044
182	PRFN	PRFN	0.007539913	0.015576029	0.9768842
183	PRFN	PRFN	0.011774914	0.033662535	0.95456254
184	HATE	HATE	0.5640027	0.33075604	0.10524138
185	PRFN	PRFN	0.018001191	0.061959825	0.920039
186	HATE	HATE	0.54946166	0.34008136	0.11045702
187	PRFN	PRFN	0.01378647	0.07249655	0.91371685
188	PRFN	PRFN	0.038187888	0.13346364	0.82834846
189	PRFN	PRFN	0.00800362	0.013754709	0.97824156
190	PRFN	PRFN	0.008232791	0.014711423	0.97705585
191	PRFN	PRFN	0.0059277224	0.010038665	0.98403364
192	HATE	HATE	0.5614974	0.3251418	0.11336081
193	PRFN	PRFN	0.0070041986	0.013725684	0.97927016
194	PRFN	PRFN	0.0127999745	0.04688214	0.9403179
195	PRFN	PRFN	0.0072698104	0.019968914	0.97276133
196	PRFN	PRFN	0.008584391	0.018308233	0.97310746
197	PRFN	PRFN	0.0062952386	0.011870141	0.98183477
198	PRFN	PRFN	0.0065429355	0.011633511	0.98182356
199	PRFN	PRFN	0.00846391	0.01503721	0.976499
200	PRFN	PRFN	0.0072090104	0.028842237	0.9639487
201	PRFN	PRFN	0.0056729815	0.011224692	0.98310244
202	PRFN	PRFN	0.0078738155	0.015763385	0.9763628
203	PRFN	PRFN	0.0052128676	0.011298738	0.9834884
204	PRFN	PRFN	0.0058744033	0.009647803	0.98447764
205	PRFN	PRFN	0.016329456	0.047075387	0.9365952
206	OFFN	HATE	0.44013122	0.3661407	0.19372806
207	HATE	HATE	0.5652991	0.3651199	0.06958099
208	PRFN	PRFN	0.0057621724	0.011066457	0.9831714
209	PRFN	PRFN	0.005308038	0.009516601	0.9851755
