id	label	task_3_preds	TIN_probs	UNT_probs
0	UNT	UNT	0.032568697	0.9674313
1	TIN	TIN	0.7019043	0.2980957
2	TIN	TIN	0.90043604	0.09956398
3	UNT	UNT	0.08979929	0.91020066
4	UNT	UNT	0.07476842	0.9252316
5	TIN	UNT	0.3461541	0.65384597
6	UNT	UNT	0.025177041	0.974823
7	UNT	UNT	0.05349255	0.94650745
8	UNT	UNT	0.077313036	0.92268693
9	UNT	TIN	0.5764526	0.4235474
10	UNT	UNT	0.32901016	0.6709899
11	TIN	TIN	0.8940071	0.10599285
12	TIN	TIN	0.84489024	0.15510976
13	UNT	UNT	0.030271588	0.96972835
14	UNT	UNT	0.023182135	0.9768179
15	UNT	UNT	0.026510114	0.9734899
16	UNT	UNT	0.030166656	0.9698333
17	TIN	TIN	0.9150996	0.084900446
18	TIN	TIN	0.9344247	0.06557532
19	UNT	UNT	0.12101423	0.8789858
20	TIN	TIN	0.9388308	0.06116917
21	TIN	TIN	0.8205255	0.17947449
22	TIN	TIN	0.8130418	0.1869581
23	TIN	TIN	0.89784366	0.10215641
24	TIN	TIN	0.9600828	0.039917275
25	TIN	TIN	0.9121735	0.08782641
26	UNT	TIN	0.8986053	0.101394705
27	TIN	TIN	0.9282772	0.07172282
28	UNT	UNT	0.022921141	0.9770789
29	TIN	TIN	0.88331825	0.11668183
30	TIN	TIN	0.83356696	0.16643298
31	TIN	TIN	0.7043078	0.2956922
32	TIN	TIN	0.84915197	0.1508481
33	TIN	UNT	0.11064579	0.8893542
34	TIN	TIN	0.86379236	0.13620767
35	UNT	UNT	0.05551864	0.94448143
36	TIN	UNT	0.49919328	0.50080675
37	TIN	TIN	0.883106	0.11689395
38	TIN	TIN	0.86487186	0.13512807
39	TIN	TIN	0.9202482	0.07975181
40	UNT	UNT	0.032984834	0.9670152
41	TIN	TIN	0.8517797	0.14822021
42	UNT	UNT	0.026074432	0.9739256
43	UNT	UNT	0.03242238	0.9675777
44	UNT	UNT	0.024996042	0.97500384
45	UNT	UNT	0.035883952	0.96411604
46	UNT	UNT	0.038038556	0.96196145
47	UNT	TIN	0.8712466	0.12875348
48	UNT	UNT	0.07627067	0.92372936
49	UNT	UNT	0.026792247	0.9732078
50	UNT	UNT	0.07549288	0.9245071
51	UNT	UNT	0.03366605	0.96633404
52	UNT	UNT	0.10188945	0.8981106
53	UNT	UNT	0.09390684	0.9060932
54	UNT	TIN	0.51002705	0.48997295
55	UNT	UNT	0.047367744	0.9526322
56	UNT	UNT	0.09689636	0.9031036
57	TIN	TIN	0.93569344	0.06430657
58	UNT	UNT	0.05110092	0.9488991
59	UNT	UNT	0.06376266	0.93623734
60	UNT	UNT	0.09506964	0.9049303
61	UNT	UNT	0.025283754	0.97471625
62	UNT	UNT	0.027464682	0.97253525
63	TIN	TIN	0.8872009	0.112799145
64	UNT	UNT	0.03529245	0.96470755
65	UNT	UNT	0.022548014	0.9774519
66	UNT	UNT	0.027078157	0.97292185
67	UNT	UNT	0.021732755	0.9782672
68	UNT	UNT	0.030818556	0.9691815
69	TIN	TIN	0.8095293	0.19047073
70	TIN	TIN	0.9246151	0.0753848
71	TIN	TIN	0.7941929	0.20580703
72	TIN	TIN	0.789446	0.210554
73	TIN	TIN	0.50363654	0.49636352
74	TIN	UNT	0.26552132	0.7344787
75	TIN	TIN	0.90585643	0.094143614
76	TIN	TIN	0.9135436	0.08645637
77	TIN	TIN	0.9336654	0.0663345
78	TIN	TIN	0.9551335	0.044866547
79	TIN	TIN	0.8916829	0.108317025
80	TIN	TIN	0.86487675	0.1351233
81	TIN	TIN	0.9086261	0.09137384
82	TIN	TIN	0.8840303	0.115969725
83	TIN	TIN	0.9384576	0.061542384
84	TIN	TIN	0.86138433	0.13861564
85	TIN	TIN	0.84679776	0.15320225
86	UNT	UNT	0.1447147	0.8552853
87	TIN	TIN	0.9411523	0.058847714
88	TIN	TIN	0.91175056	0.08824944
89	TIN	TIN	0.7567211	0.24327889
90	TIN	TIN	0.93361056	0.06638953
91	TIN	TIN	0.93089354	0.069106385
92	TIN	TIN	0.7522887	0.24771129
93	TIN	TIN	0.89509904	0.10490096
94	TIN	TIN	0.77415293	0.22584705
95	TIN	TIN	0.823816	0.17618401
96	TIN	TIN	0.91512614	0.084873915
97	TIN	TIN	0.94539434	0.054605775
98	TIN	TIN	0.82648283	0.17351718
99	UNT	UNT	0.022211468	0.9777885
100	TIN	TIN	0.96074975	0.039250247
101	TIN	TIN	0.90621936	0.09378061
102	UNT	UNT	0.054396257	0.9456037
103	TIN	TIN	0.85733044	0.14266951
104	TIN	TIN	0.7742276	0.22577235
105	UNT	UNT	0.02687832	0.9731217
106	UNT	UNT	0.02827498	0.9717251
