id	label	task_4_preds	NOT-NONE-NONE_probs	HOF-HATE-TIN_probs	HOF-HATE-UNT_probs	HOF-OFFN-TIN_probs	HOF-OFFN-UNT_probs	HOF-PRFN-TIN_probs	HOF-PRFN-UNT_probs
0	NOT-NONE-NONE	NOT-NONE-NONE	0.9730648	0.009196999	0.005366913	0.002882646	0.0055071535	0.0020109129	0.0019703594
1	HOF-PRFN-UNT	HOF-PRFN-UNT	0.009912621	0.018970571	0.010574562	0.040171243	0.03436056	0.39457664	0.4914337
2	HOF-PRFN-TIN	HOF-PRFN-TIN	0.0046631196	0.020424297	0.0068967594	0.051737055	0.02873736	0.5111035	0.3764379
3	NOT-NONE-NONE	NOT-NONE-NONE	0.9755745	0.009505219	0.0050733406	0.0023318466	0.0045201443	0.0016247041	0.0013701579
4	NOT-NONE-NONE	NOT-NONE-NONE	0.9766096	0.008845659	0.0051856805	0.0022474425	0.0042292518	0.0015324837	0.0013498403
5	NOT-NONE-NONE	NOT-NONE-NONE	0.97278315	0.00657404	0.007197888	0.0027981494	0.0054115397	0.0023425287	0.0028925983
6	NOT-NONE-NONE	NOT-NONE-NONE	0.9618277	0.010899127	0.008855454	0.0038205283	0.010863746	0.0017431005	0.0019906242
7	NOT-NONE-NONE	NOT-NONE-NONE	0.9178459	0.04165594	0.014915672	0.0065903985	0.013932315	0.0028236841	0.0022361905
8	NOT-NONE-NONE	NOT-NONE-NONE	0.95502144	0.01625745	0.009904627	0.004569871	0.010820711	0.0018059294	0.0016201405
9	NOT-NONE-NONE	NOT-NONE-NONE	0.95656145	0.018337687	0.0077256984	0.0039441097	0.009292644	0.0022341728	0.001904298
10	NOT-NONE-NONE	NOT-NONE-NONE	0.97618264	0.007569806	0.0049485294	0.0024865335	0.0055888714	0.0015443293	0.0016790464
11	NOT-NONE-NONE	NOT-NONE-NONE	0.9468708	0.023044119	0.010680122	0.004796542	0.010968124	0.0019856803	0.0016546067
12	NOT-NONE-NONE	NOT-NONE-NONE	0.96923876	0.013325152	0.0061865263	0.0026602754	0.0056782183	0.0016267266	0.0012845128
13	NOT-NONE-NONE	NOT-NONE-NONE	0.93787473	0.021995615	0.014303091	0.0061996737	0.014958236	0.002338424	0.002330125
14	NOT-NONE-NONE	NOT-NONE-NONE	0.95843387	0.020151729	0.0063000796	0.0036965737	0.007778666	0.0021434245	0.0014956231
15	NOT-NONE-NONE	NOT-NONE-NONE	0.9715941	0.012099781	0.0046049925	0.0028570478	0.0056184856	0.0018038423	0.0014216958
16	NOT-NONE-NONE	NOT-NONE-NONE	0.97784024	0.007036405	0.005436716	0.0021009538	0.0043321475	0.0015962878	0.001657598
17	NOT-NONE-NONE	NOT-NONE-NONE	0.97369087	0.00870565	0.0064124074	0.0025837838	0.005332725	0.0015857146	0.0016887895
18	HOF-OFFN-TIN	HOF-OFFN-TIN	0.009029948	0.06028362	0.030613344	0.3432418	0.10569541	0.24575399	0.20538186
19	NOT-NONE-NONE	NOT-NONE-NONE	0.9755861	0.0075037773	0.0059517547	0.002414929	0.0050781644	0.001731383	0.0017339177
20	HOF-PRFN-UNT	HOF-PRFN-TIN	0.0031393482	0.006892479	0.0044246055	0.010559133	0.011734804	0.5144368	0.44881293
21	NOT-NONE-NONE	NOT-NONE-NONE	0.9677028	0.0113928355	0.0054422747	0.0033750208	0.006549984	0.003003276	0.002533885
22	HOF-PRFN-UNT	HOF-PRFN-TIN	0.0043475004	0.008195511	0.0039604492	0.011185016	0.012514772	0.5557515	0.4040452
23	NOT-NONE-NONE	NOT-NONE-NONE	0.42789933	0.21399158	0.04966743	0.12267069	0.12161483	0.039797153	0.02435898
24	NOT-NONE-NONE	NOT-NONE-NONE	0.54617727	0.2800956	0.03511146	0.04839128	0.06618888	0.016632916	0.007402767
25	NOT-NONE-NONE	NOT-NONE-NONE	0.9758983	0.006035944	0.005993386	0.0023685284	0.0053564156	0.0020439744	0.002303222
26	HOF-HATE-TIN	NOT-NONE-NONE	0.8386265	0.065261565	0.034358375	0.018823905	0.03385496	0.005349404	0.0037252873
27	NOT-NONE-NONE	NOT-NONE-NONE	0.9700373	0.0120616695	0.006247479	0.0027565432	0.005428416	0.0018233318	0.001645264
28	NOT-NONE-NONE	NOT-NONE-NONE	0.8086121	0.09810436	0.020172404	0.021874582	0.03685888	0.009197508	0.005180103
29	HOF-PRFN-UNT	HOF-PRFN-UNT	0.003430328	0.0070696124	0.0044223317	0.011120015	0.012937543	0.47675094	0.4842692
30	NOT-NONE-NONE	NOT-NONE-NONE	0.9727456	0.011285896	0.005573112	0.0025409777	0.0051414478	0.0014570206	0.0012557734
31	NOT-NONE-NONE	NOT-NONE-NONE	0.9737303	0.00892564	0.005506841	0.0026830626	0.0048642727	0.0021297818	0.0021601089
32	NOT-NONE-NONE	NOT-NONE-NONE	0.8570844	0.072336584	0.026715422	0.012410273	0.024212986	0.004219112	0.0030213385
33	HOF-PRFN-UNT	HOF-PRFN-UNT	0.0063866465	0.012694376	0.0065501933	0.0225802	0.023296362	0.40180668	0.52668554
34	NOT-NONE-NONE	NOT-NONE-NONE	0.96502143	0.012797673	0.007871856	0.003374823	0.008012899	0.0015271077	0.0013943772
35	NOT-NONE-NONE	NOT-NONE-NONE	0.97416455	0.008366108	0.00536644	0.002659554	0.00542446	0.00202195	0.0019966913
36	NOT-NONE-NONE	NOT-NONE-NONE	0.9757848	0.008282384	0.005233617	0.0024721704	0.0051482483	0.0015238823	0.0015550507
37	NOT-NONE-NONE	NOT-NONE-NONE	0.9760654	0.007510908	0.005263783	0.0024279752	0.004934298	0.0018597317	0.0019379035
38	NOT-NONE-NONE	NOT-NONE-NONE	0.6296173	0.13131799	0.05936169	0.048406508	0.07317745	0.03342792	0.024691274
39	NOT-NONE-NONE	NOT-NONE-NONE	0.9751057	0.007974596	0.006096212	0.002322852	0.0049616643	0.0018240719	0.0017147461
40	HOF-PRFN-UNT	HOF-PRFN-UNT	0.0033920356	0.00816068	0.0046207127	0.01438558	0.014387541	0.47542426	0.47962922
41	NOT-NONE-NONE	NOT-NONE-NONE	0.34750038	0.30130678	0.065968536	0.11131705	0.12757309	0.029354936	0.016979154
42	NOT-NONE-NONE	NOT-NONE-NONE	0.9575458	0.020349307	0.0067559667	0.004028626	0.007842478	0.0021055804	0.0013722293
43	NOT-NONE-NONE	NOT-NONE-NONE	0.72599226	0.14215645	0.028076842	0.033585448	0.04996762	0.01288759	0.0073337387
44	NOT-NONE-NONE	NOT-NONE-NONE	0.9743248	0.009337039	0.006194077	0.0024539647	0.00460308	0.001540873	0.0015460129
45	NOT-NONE-NONE	NOT-NONE-NONE	0.8813497	0.03985155	0.020751236	0.013906914	0.036029372	0.004178116	0.003933166
46	NOT-NONE-NONE	NOT-NONE-NONE	0.9362661	0.025102753	0.012343506	0.006627152	0.01528572	0.002393126	0.0019816624
47	NOT-NONE-NONE	NOT-NONE-NONE	0.9678025	0.010636511	0.0069630058	0.0031684015	0.008202963	0.0016338389	0.0015924615
48	NOT-NONE-NONE	NOT-NONE-NONE	0.9307279	0.017038912	0.009990824	0.009655001	0.021820927	0.0055279355	0.005238441
49	NOT-NONE-NONE	NOT-NONE-NONE	0.97061473	0.011979343	0.0060706995	0.0024438591	0.0057050814	0.0017785856	0.0014078051
50	NOT-NONE-NONE	NOT-NONE-NONE	0.9334346	0.035636753	0.009233008	0.006169952	0.010924811	0.0028032735	0.0017974027
51	HOF-PRFN-UNT	HOF-PRFN-TIN	0.0032679178	0.010656396	0.0043049	0.02426797	0.016880127	0.6042424	0.33638048
52	NOT-NONE-NONE	NOT-NONE-NONE	0.9767647	0.007073561	0.0052733696	0.0023419512	0.005016253	0.0017434014	0.0017868533
53	HOF-PRFN-UNT	HOF-PRFN-TIN	0.0034072574	0.0077857054	0.0046333703	0.012033468	0.013220118	0.48938814	0.46953198
54	NOT-NONE-NONE	NOT-NONE-NONE	0.976659	0.008235198	0.0052190954	0.0021774734	0.004162494	0.0018266961	0.0017201749
55	NOT-NONE-NONE	NOT-NONE-NONE	0.9741706	0.00838777	0.0064186635	0.0024316248	0.0055887545	0.001541258	0.0014611966
56	HOF-HATE-TIN	NOT-NONE-NONE	0.37021568	0.36651757	0.052742776	0.07599222	0.09238509	0.028721716	0.013424784
